month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,40,-40,0,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Buses,,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Pedestrians,,23,-17,-6,-1,11,-15,5,7,-16,-2,0,0,0,0,0,0,0,0,0,0,0,,,-1,,,,,
Jan,Personal Vehicle Passengers,,-2054,792,1149,-563,-1763,-796,470,-443,310,2702,-3787,911,-429,415,-138,697,29,533,237,-726,-120,82,98,-40,-3021,467,859,131,230
Jan,Personal Vehicles,,-624,241,349,-168,-539,-242,143,-126,30,83,-150,307,-95,198,-90,308,4,254,90,-157,-93,2,63,-29,-1386,235,388,68,126
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total,,-2617,1215,1263,-731,-2177,-1062,567,-600,268,2822,-4011,1250,-534,561,-210,1008,4,778,322,-883,-195,138,212,-91,-4300,741,1088,309,250
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,-10,-10,0,0,0,6,5,-7,3,6,-13,0,0,0,0,0,0,0,0,0,9,27,-30,2,63,-37,-27,21,-9
Jan,Truck Containers Loaded,,15,136,-121,-1,54,-6,-31,-8,-32,13,-50,0,0,0,0,0,0,0,0,0,0,0,,-13,-9,55,-50,36,-47
Jan,Trucks,,-8,114,-108,2,49,2,-25,-23,-27,20,-11,32,-10,-52,18,3,-29,-9,-5,0,9,27,25,-10,53,21,-82,53,-50
Feb,Bus Passengers,,48,-8,-15,-22,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Buses,,2,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Pedestrians,,25,-12,-15,-4,-6,9,1,-11,-1,-5,0,0,0,0,0,0,0,0,0,0,0,,,-1,,,,,-1
Feb,Personal Vehicle Passengers,,-704,656,904,-833,-2333,-318,141,343,102,-348,-962,1360,-455,787,-150,836,661,-72,24,-742,178,-744,221,454,-3957,1965,-505,934,-528
Feb,Personal Vehicles,,-214,203,269,-251,-709,-97,43,115,-33,-100,-55,478,-135,263,-15,349,316,-117,45,-225,88,-383,85,257,-1652,983,-326,345,-163
