year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,553,164.583333
1997,Buses,19,190
1997,Pedestrians,112,52.093023
1997,Personal Vehicle Passengers,-8227,-11.4571
1997,Personal Vehicles,-2396,-10.968185
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total,-9630,-10.078915
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,-30,-18.181818
1997,Truck Containers Loaded,210,44.585987
1997,Trucks,129,18.507891
1998,Bus Passengers,-372,-41.844769
1998,Buses,-12,-41.37931
1998,Pedestrians,-121,-37.003058
1998,Personal Vehicle Passengers,9098,14.309531
1998,Personal Vehicles,2651,13.630521
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total,11773,13.702919
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,-112,-82.962963
1998,Truck Containers Loaded,371,54.478708
1998,Trucks,270,32.687651
1999,Bus Passengers,-222,-42.940039
1999,Buses,-4,-23.529412
1999,Pedestrians,-26,-12.621359
1999,Personal Vehicle Passengers,7811,10.747406
1999,Personal Vehicles,2040,9.230769
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total,8508,8.709271
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-22,-95.652174
1999,Truck Containers Loaded,-523,-49.714829
1999,Trucks,-546,-49.817518
2000,Bus Passengers,197,66.779661
2000,Buses,-1,-7.692308
2000,Pedestrians,103,57.222222
2000,Personal Vehicle Passengers,-23589,-29.30711
2000,Personal Vehicles,-6904,-28.599834
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total,-29561,-27.836003
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,87,8700
2000,Truck Containers Loaded,231,43.667297
2000,Trucks,315,57.272727
2001,Bus Passengers,232,47.154472
2001,Buses,10,83.333333
2001,Pedestrians,-19,-6.713781
2001,Personal Vehicle Passengers,-18452,-32.428822
