month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,0,0,0,0,39,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-39,,,,,,
Jan,Buses,,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,,,,,,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Personal Vehicle Passengers,,-43,-92,-110,573,-314,-224,28,-7,96,-25,122,-42,-25,-114,226,110,-225,116,-59,-113,36,-17,-85,12,-498,47,202,28,23
Jan,Personal Vehicles,,-61,-68,-6,198,-158,-65,24,18,-15,29,24,6,86,-135,61,37,-72,43,339,-556,218,-76,4,24,-245,13,86,24,-1
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total,,93,-293,-80,831,294,-1081,-26,-121,106,62,167,-180,88,-151,201,157,247,-167,102,-756,357,-105,-157,40,-692,1,332,1,55
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,5,-2,3,3,0,-9,2,-2,4,1,-2,-3,0,22,-10,-7,-1,1,-5,0,22,4,-17,5,17,-21,21,-23,13
Jan,Truck Containers Loaded,,170,-60,8,14,373,-367,-41,-97,42,30,8,-80,0,54,-35,11,274,-164,-119,-21,54,-36,-3,-3,12,-12,1,-3,4
Jan,Trucks,,22,-71,25,43,353,-376,-39,-33,-21,27,15,-61,27,22,-41,6,271,-163,-54,-66,27,-20,-16,2,22,-26,22,-25,16
Feb,Bus Passengers,,0,0,0,0,36,-36,31,-31,0,0,37,-37,0,0,0,0,0,0,0,0,49,-49,,,,,,,
Feb,Buses,,0,0,0,0,1,-1,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,1,-1,,,,,,,
Feb,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Personal Vehicle Passengers,,223,-186,-95,166,121,-410,-82,33,147,-105,26,224,96,112,86,93,-166,-167,39,-315,242,-173,-34,79,-670,221,111,87,-65
Feb,Personal Vehicles,,112,-67,-66,88,-6,-109,-52,81,-1,-43,22,379,-124,-146,26,55,-41,-56,175,-243,73,-72,18,58,-321,94,31,33,-19
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total,,596,-375,-196,390,711,-1227,-98,-49,130,-86,100,426,19,70,13,224,18,-524,196,-602,409,-307,-24,116,-910,275,150,116,-118
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Truck Containers Empty,,2,2,-2,8,4,-13,1,-2,5,2,-4,-3,3,8,6,-8,-9,5,-5,0,21,-2,-13,-1,31,-17,10,-1,-17
Feb,Truck Containers Loaded,,173,-59,-13,64,276,-323,2,-120,43,28,14,-85,26,53,-54,44,-69,37,-37,0,16,-6,10,-10,12,-5,-7,-1,0
Feb,Trucks,,86,-65,-20,64,279,-335,1,-9,-64,32,4,-51,18,43,-51,40,303,-343,24,-44,7,-4,-5,-10,38,-18,5,-2,-17
Mar,Bus Passengers,,-41,29,6,-35,32,45,-12,-65,0,0,0,0,39,-39,0,0,0,0,0,0,0,0,,,,,,,
Mar,Buses,,-1,1,3,-4,1,1,0,-2,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,,,,,,,
Mar,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-2,,,
Mar,Personal Vehicle Passengers,,43,-50,1335,-1004,-33,-211,-53,-139,170,-139,-56,459,-376,811,-635,39,-58,-132,-49,46,-77,60,-55,-284,-217,143,122,131,-179
Mar,Personal Vehicles,,3,-23,3,187,-169,7,3,65,-64,-27,-5,98,-84,52,-24,72,-30,-46,108,-65,25,-88,13,-155,-98,86,18,48,-58
Mar,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Total,,136,90,1337,-818,369,-895,-7,-250,87,-190,-45,499,-358,843,-609,34,639,-932,183,-206,149,-157,-72,-481,-258,233,144,196,-292
Mar,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Truck Containers Empty,,4,7,-9,22,-12,-9,18,-21,9,-1,5,-13,8,0,-2,0,5,-11,9,-9,17,21,-29,-3,19,7,5,3,-25
Mar,Truck Containers Loaded,,95,94,-10,-12,287,-361,11,-104,51,-10,10,-51,51,8,22,-35,357,-403,103,-103,123,-111,12,-18,10,-6,-4,9,-3
Mar,Trucks,,33,32,9,28,263,-367,26,16,-79,-13,1,6,3,12,30,-42,365,-340,11,-74,61,-39,-13,-21,26,5,3,5,-27
Apr,Bus Passengers,,0,0,35,-35,118,-118,0,0,0,0,41,-41,0,48,2,-50,53,-14,-39,35,-35,,,,,,,,
Apr,Buses,,0,0,1,-1,3,-3,0,0,0,0,1,-1,0,2,-1,-1,1,0,-1,1,-1,,,-1,,,,,
Apr,Pedestrians,,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,1,-1,0,0,0,0,,,,,,,,
Apr,Personal Vehicle Passengers,,27,-171,223,16,-165,-94,135,-20,-126,-94,140,10,262,335,-63,-112,-153,4,-13,-280,226,-17,-88,-645,-13,340,-51,121,-144
Apr,Personal Vehicles,,-34,-71,86,12,-64,189,-170,-8,-49,81,-58,9,-14,223,-30,-23,-59,-6,24,-71,194,-163,-8,-293,-8,167,-48,62,-69
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total,,41,-135,342,124,345,-588,-145,-290,-119,-64,169,-63,270,752,-190,-125,-115,-114,-79,-372,487,-255,-110,-983,117,382,-80,187,-225
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,7,2,-9,7,0,-1,8,-14,10,-2,6,-14,18,-9,7,-8,-8,4,6,-10,13,16,-15,-14,,-56,4,6,0
Apr,Truck Containers Loaded,,163,35,9,46,240,-280,-63,-150,52,-26,18,-44,24,86,-54,36,-92,69,-32,-37,76,-68,9,-9,6,-8,5,-3,-8
Apr,Trucks,,-122,70,-3,79,213,-281,-55,-98,-6,-26,24,18,-20,67,-51,32,144,-171,-24,-10,14,-23,-9,-21,68,-61,10,1,-4
May,Bus Passengers,,-27,12,0,-12,41,7,-48,0,0,0,36,38,-74,0,0,0,0,64,-64,0,0,,-25,,,,,,
May,Buses,,-1,1,0,-1,1,0,-1,0,0,0,1,1,-2,0,0,0,0,2,-2,0,0,,-1,,,,,,
May,Pedestrians,,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,0,,,,,,,,
May,Personal Vehicle Passengers,,169,-30,-154,247,-209,-184,155,25,-117,155,-81,105,124,-49,-5,77,-49,56,-160,-5,11,1,9,-753,-41,281,136,266,-247
May,Personal Vehicles,,196,-55,-43,116,-115,-77,39,5,-3,61,-8,22,55,-16,-20,14,32,-94,128,307,-401,9,7,-337,-24,128,72,84,-92
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total,,497,-277,-168,329,-63,-408,61,-189,-34,194,-108,192,120,-48,38,0,306,-304,-129,275,-344,30,-13,-1134,-13,394,200,371,-375
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Truck Containers Empty,,15,-9,3,-3,0,-4,9,-11,21,2,-13,-10,16,11,-6,3,-4,-7,-13,0,8,2,6,-15,21,-10,-5,22,-21
May,Truck Containers Loaded,,218,-104,33,-13,113,-75,-88,-84,43,-13,-17,-13,24,4,35,-48,165,-157,-23,0,28,-6,-9,-9,6,4,-2,-12,
May,Trucks,,-73,-92,-7,-5,103,-72,-5,-124,22,-11,-26,49,-23,2,34,-47,162,-167,4,-26,10,-2,0,-20,25,-9,-1,11,-15
Jun,Bus Passengers,,-119,-18,-9,-10,64,-64,0,0,12,-12,53,-41,-12,0,38,9,-26,-21,54,-54,25,-25,,,,,,,
Jun,Buses,,-2,-1,0,-1,2,-2,0,0,1,-1,2,-1,-1,0,2,-1,0,-1,1,-1,1,-1,,,,,,,
Jun,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,,,,,-1,,,
Jun,Personal Vehicle Passengers,,-164,38,-22,-121,-188,41,35,179,-189,22,-114,410,-366,181,-98,198,42,-120,-175,-9,-98,65,68,-1432,10,426,347,-68,-214
Jun,Personal Vehicles,,-126,49,-35,-49,-80,34,8,96,-92,3,-36,401,-340,73,-66,77,71,-84,-3,23,-390,323,68,-666,3,212,137,-27,-108
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
