year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,-236,-67.816092
1997,Buses,-6,-60
1997,Pedestrians,0,0
1997,Personal Vehicle Passengers,651,4.429777
1997,Personal Vehicles,111,1.947368
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,526,2.535551
1997,Total Vehicles,1685,86.410256
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,154,
1997,Truck Containers Loaded,1658,
1997,Trucks,-121,-6.237113
1998,Bus Passengers,-52,-46.428571
1998,Buses,-1,-25
1998,Pedestrians,-1,-100
1998,Personal Vehicle Passengers,-4292,-27.966378
1998,Personal Vehicles,-966,-16.623645
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,-5311,-24.968267
1998,Total Vehicles,-459,-12.627235
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,-83,-53.896104
1998,Truck Containers Loaded,-158,-9.529554
1998,Trucks,-217,-11.929632
1999,Bus Passengers,33,55
1999,Buses,5,166.666667
1999,Pedestrians,10,
1999,Personal Vehicle Passengers,2046,18.507463
1999,Personal Vehicles,160,3.302374
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,2249,14.091479
1999,Total Vehicles,463,14.578086
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-18,-25.352113
1999,Truck Containers Loaded,283,18.866667
1999,Trucks,193,12.047441
2000,Bus Passengers,-93,-100
2000,Buses,-8,-100
2000,Pedestrians,-10,-100
2000,Personal Vehicle Passengers,173,1.32051
2000,Personal Vehicles,690,13.786214
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,760,4.17376
2000,Total Vehicles,2304,63.314097
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,106,200
2000,Truck Containers Loaded,1006,56.421761
2000,Trucks,1200,66.852368
2001,Bus Passengers,330,
2001,Buses,9,
2001,Pedestrians,3,
