month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,0,0,0,0,26,-9,-1,-16,50,-36,-14,0,29,-29,0,0,0,0,0,0,0,,,,,,,,
Jan,Buses,,0,0,0,0,1,0,0,-1,3,0,-3,0,1,-1,0,0,0,0,0,0,0,,,,,,,,0
Jan,Pedestrians,,0,12,0,-12,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,,,,,,,-1,
Jan,Personal Vehicle Passengers,,179,497,-503,118,-156,51,-116,-103,135,-66,57,-49,-177,-24,-74,148,-109,23,21,-73,-11,64,0,-11,-349,5,140,17,125
Jan,Personal Vehicles,,-44,215,-161,16,-35,-14,-41,-62,31,48,31,-57,-48,7,-43,119,23,-68,-20,16,-50,13,-6,18,-210,7,71,20,55
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total People,,135,724,-664,122,-165,28,-158,-181,216,-54,74,-106,-196,-46,-116,266,-86,-45,1,-57,-61,77,-6,7,-559,12,212,36,181
Jan,Total Vehicles,,15,8,16,-23,833,-740,9,-13,45,-89,28,-54,98,-102,-32,-2,124,-114,102,-82,-17,12,204,-233,79,70,-155,,8
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,0,0,0,0,12,-12,0,0,8,20,-27,1,-2,0,0,0,0,0,0,0,6,-4,13,-13,9,-10,-1,,
Jan,Truck Containers Loaded,,0,0,0,0,457,-405,16,-9,15,-61,68,-59,49,-51,-14,-6,0,0,0,0,7,13,118,-137,41,60,-102,,
Jan,Trucks,,15,8,16,-23,363,-323,-7,-3,19,-48,-10,4,50,-50,-18,4,124,-114,102,-82,-30,3,73,-83,29,20,-52,,
Feb,Bus Passengers,,56,-56,35,-24,18,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Buses,,1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
Feb,Pedestrians,,10,2,-12,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,,,,,,,-1,
Feb,Personal Vehicle Passengers,,56,26,-217,284,-330,-15,-21,-48,-59,-26,-3,153,-154,-29,-69,153,-109,-1,-24,-30,-26,41,-103,152,-377,37,74,55,54
Feb,Personal Vehicles,,-125,-18,-76,37,-70,19,-135,77,-23,-17,-7,83,-50,3,-45,169,-3,-84,-12,-8,-2,-52,-57,70,-190,23,41,37,23
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total People,,-3,-46,-270,297,-382,-25,-156,29,-82,-43,-10,236,-204,-26,-113,321,-112,-85,-36,-38,-28,-11,-160,222,-567,60,116,91,78
Feb,Total Vehicles,,37,-38,1,36,721,-701,18,105,-50,-61,-6,-35,45,63,-109,-10,62,-79,-4,8,57,43,-114,-7,63,-55,-19,,14
