month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,,,,,-34.615385,-5.882353,-100,,-72,-100,,,-100,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,0,0,-100,,0,-100,,,-100,,,,,,,,,,,,,,,0
Jan,Pedestrians,,,,0,-100,,,,,,,,,,,,-100,,,,,,,,,,,,-100,
Jan,Personal Vehicle Passengers,,32.723949,68.4573,-41.128373,16.388889,-18.615752,7.478006,-15.825375,-16.693679,26.264591,-10.169492,9.777015,-7.65625,-29.949239,-5.797101,-18.974359,46.835443,-23.491379,6.478873,5.555556,-18.295739,-3.374233,20.31746,0,-2.902375,-94.836957,26.315789,583.333333,10.365854,69.060773
Jan,Personal Vehicles,,-13.095238,73.630137,-31.755424,4.624277,-9.668508,-4.281346,-13.099042,-22.794118,14.761905,19.917012,10.726644,-17.8125,-18.250951,3.255814,-19.369369,66.480447,7.718121,-21.183801,-7.905138,6.866953,-20.080321,6.532663,-2.830189,8.737864,-93.75,50,338.095238,21.73913,49.107143
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total People,,15.288788,71.119843,-38.117107,11.317254,-13.75,2.705314,-14.863594,-20,29.834254,-5.744681,8.352144,-11.041667,-22.95082,-6.990881,-18.954248,53.629032,-11.286089,-6.656805,0.158479,-9.018987,-10.608696,14.980545,-1.015228,1.196581,-94.425676,36.363636,471.111111,14.007782,61.774744
Jan,Total Vehicles,,115.384615,28.571429,44.444444,-44.230769,2872.413793,-85.846868,7.377049,-9.923664,38.135593,-54.601227,37.837838,-52.941176,204.166667,-69.863014,-72.727273,-16.666667,1240,-85.074627,510,-67.213115,-42.5,52.173913,582.857143,-97.48954,1316.666667,82.352941,-100,,800
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,-100,,,,250,-96.428571,100,-100,,,,,,,,,-66.666667,650,-86.666667,450,-90.909091,-100,,
Jan,Truck Containers Loaded,,,,,,,-88.621444,30.769231,-13.235294,25.423729,-82.432432,523.076923,-72.839506,222.727273,-71.830986,-70,-100,,,,,,185.714286,590,-99.275362,4100,142.857143,-100,,
Jan,Trucks,,115.384615,28.571429,44.444444,-44.230769,1251.724138,-82.397959,-10.144928,-4.83871,32.20339,-61.538462,-33.333333,20,208.333333,-67.567568,-75,66.666667,1240,-85.074627,510,-67.213115,-75,30,561.538462,-96.511628,966.666667,62.5,-100,,
Feb,Bus Passengers,,,-100,,-68.571429,163.636364,-100,,,,,,,,,,,,,,,,,,,,,,,
