year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,68,566.666667
1997,Buses,1,100
1997,Pedestrians,-28,-25.454545
1997,Personal Vehicle Passengers,-2821,-20.08687
1997,Personal Vehicles,-1558,-24.185036
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,-4339,-21.05493
1997,Total Vehicles,-184,-26.589595
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,0,
1997,Truck Containers Loaded,0,
1997,Trucks,-185,-26.772793
1998,Bus Passengers,-1,-1.25
1998,Buses,1,50
1998,Pedestrians,23,28.04878
1998,Personal Vehicle Passengers,-784,-6.985654
1998,Personal Vehicles,-202,-4.135954
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,-964,-5.92538
1998,Total Vehicles,-6,-1.181102
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,1,
1998,Truck Containers Loaded,4,
1998,Trucks,-12,-2.371542
1999,Bus Passengers,-17,-21.518987
1999,Buses,-1,-33.333333
1999,Pedestrians,-69,-65.714286
1999,Personal Vehicle Passengers,1210,11.591149
1999,Personal Vehicles,718,15.335327
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,1842,12.035283
1999,Total Vehicles,343,68.326693
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-1,-100
1999,Truck Containers Loaded,-4,-100
1999,Trucks,349,70.647773
2000,Bus Passengers,18,29.032258
2000,Buses,2,100
2000,Pedestrians,-36,-100
2000,Personal Vehicle Passengers,-372,-3.193407
2000,Personal Vehicles,-911,-16.87037
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,-1301,-7.587333
2000,Total Vehicles,1721,203.668639
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,22,
2000,Truck Containers Loaded,788,
2000,Trucks,909,107.829181
2001,Bus Passengers,35,43.75
2001,Buses,1,25
