month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,-45,14,27,-42,79,-79,54,-30,5,-29,47,-6,-41,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Buses,,0,0,3,-4,3,-3,1,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Pedestrians,,0,0,0,0,4,19,14,9,-41,-5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,39,53
Jan,Personal Vehicle Passengers,,2405,-72,5031,2103,-6714,-417,3042,-3693,117,306,-66,1440,2091,-5266,-734,583,920,177,45,-699,-298,-467,123,186,-5795,1266,2395,138,961
Jan,Personal Vehicles,,507,-24,1677,701,-2238,-139,1014,-1231,39,102,-22,480,-586,425,13,357,566,-26,93,99,-736,-381,88,167,-3024,656,1025,160,571
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total People,,2867,-82,6735,2762,-8869,-616,4124,-4945,120,374,-41,1914,1464,-4841,-721,940,1486,151,138,-600,-1034,-848,211,353,-8819,1922,3466,337,1585
Jan,Total Vehicles,,51,-8,-62,49,169,-113,86,-51,-24,-98,214,-121,-174,148,-9,19,4,36,-132,31,92,88,62,-34,-198,64,-79,177,160
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,9,-7,5,0,-5,-6,14,-16,4,5,4,26,-28,7,4,29,-25,19,-53,0,16,5,-1,-12,8,-2,-5,6,3
Jan,Truck Containers Loaded,,28,-6,-36,9,105,-48,26,-9,-17,-51,101,-86,-58,50,4,-21,-35,70,-100,0,128,39,32,-7,-106,35,-27,124,96
Jan,Trucks,,14,5,-34,44,66,-56,45,-26,-11,-51,108,-61,-87,91,-17,11,64,-53,21,31,-52,44,31,-15,-100,31,-47,47,61
Feb,Bus Passengers,,-80,8,56,-64,27,-27,0,0,55,-55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Buses,,-2,1,4,0,-2,-3,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Pedestrians,,3,-11,-1,0,11,22,-8,1,-24,-2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-73,0
Feb,Personal Vehicle Passengers,,3153,-24,5097,417,-7575,-150,2631,-1182,-873,-480,-102,1260,216,-1827,-568,1677,223,-1617,754,-41,-578,-2157,665,1542,-7272,2979,1303,1490,-1120
Feb,Personal Vehicles,,693,-8,1699,177,-2563,-50,877,-394,-291,-160,-34,420,72,468,-22,631,272,-898,101,494,-662,-1063,381,844,-3545,1473,377,710,-381
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total People,,3769,-35,6851,530,-10100,-205,3500,-1575,-1133,-697,-136,1680,288,-1359,-590,2308,495,-2515,855,453,-1240,-3220,1046,2386,-10817,4452,1763,2127,-1501
Feb,Total Vehicles,,69,-26,-77,102,44,-76,-24,1,7,-59,181,-94,-108,24,-13,85,70,-82,-82,9,63,-44,136,2,-134,1491,-1492,197,-73
