month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,-97.826087,1400,180,-100,,-100,,-55.555556,20.833333,-100,,-12.765957,-100,,,,,,,,,,,,,,,,
Jan,Buses,,0,0,300,-100,,-100,,0,0,-100,,0,-100,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,475,60.869565,24.324324,-89.130435,-100,,,,,,,,,,,,,,,,,,84.782609,62.352941
Jan,Personal Vehicle Passengers,,40.257784,-0.859291,60.56338,15.766982,-43.48164,-4.778274,36.606498,-32.531712,1.527615,3.935185,-0.81663,17.964072,22.112944,-45.604919,-11.686037,10.510186,15.008157,2.510638,0.622665,-9.612211,-4.533698,-7.442231,2.117769,3.136065,-94.735982,393.167702,150.81864,3.464725,23.319583
Jan,Personal Vehicles,,22.178478,-0.859291,60.56338,15.766982,-43.48164,-4.778274,36.606498,-32.531712,1.527615,3.935185,-0.81663,17.964072,-18.591371,16.562744,0.434637,11.884154,16.840226,-0.662083,2.384004,2.478718,-17.98192,-11.349419,2.956989,5.450392,-93.593315,316.908213,118.771727,8.474576,27.880859
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total,,34.381996,-0.789128,58.974812,15.627085,-41.828934,-6.025291,37.027265,-32.066752,0.907029,2.58427,1.579043,16.111061,9.982975,-33.02139,-7.668873,10.911366,15.285187,1.663997,0.052516,-4.977692,-8.672436,-7.66129,2.980349,3.381745,-92.463084,270.204082,124.476295,8.415193,26.351555
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,64.285714,-30.434783,31.25,0,-23.809524,-37.5,140,-66.666667,50,41.666667,23.529412,123.809524,-59.574468,36.842105,15.384615,96.666667,-42.372881,55.882353,-100,,,31.25,-4.761905,-60,100,-12.5,-35.714286,66.666667,20
Jan,Truck Containers Loaded,,37.837838,-5.882353,-37.5,15,152.173913,-27.586207,20.634921,-5.921053,-11.888112,-40.47619,134.666667,-48.863636,-64.444444,156.25,4.878049,-24.418605,-53.846154,233.333333,-100,,,30.46875,19.161677,-3.517588,-55.208333,40.697674,-22.31405,131.914894,44.036697
Jan,Trucks,,15.217391,4.716981,-30.630631,57.142857,54.545455,-29.946524,34.351145,-14.772727,-7.333333,-36.690647,122.727273,-31.122449,-64.444444,189.583333,-12.230216,9.016393,48.120301,-26.903553,14.583333,18.787879,-26.530612,30.555556,16.489362,-6.849315,-49.019608,29.807692,-34.814815,53.409091,45.185185
Feb,Bus Passengers,,-100,,700,-100,,-100,,,,-100,,,,,,,,,,,,,,,,,,,
Feb,Buses,,-100,,400,0,-40,-100,,,,-100,,,,,,,,,,,,,,,,,,,
Feb,Pedestrians,,33.333333,-91.666667,-100,,,200,-24.242424,4,-92.307692,-100,,,,,,,,,,,,,,,,,,-87.951807,0
Feb,Personal Vehicle Passengers,,45.184867,-0.236897,50.430395,2.742699,-48.492414,-1.86428,33.320669,-11.22827,-9.341894,-5.665722,-1.276276,15.969582,2.360656,-19.506726,-7.534156,24.056807,2.578631,-18.227934,10.394265,-0.511988,-7.254927,-29.192042,12.710245,26.148889,-97.755075,1783.832335,41.417673,33.490672,-18.858394
Feb,Personal Vehicles,,25.819672,-0.236897,50.430395,3.492502,-48.865586,-1.86428,33.320669,-11.22827,-9.341894,-5.665722,-1.276276,15.969582,2.360656,14.990391,-0.612813,17.684978,6.477733,-20.084992,2.826756,13.445836,-15.882917,-30.319452,15.595579,29.886686,-96.646674,1197.560976,23.621554,35.985808,-14.200522
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Total,,38.576741,-0.442446,49.351596,3.082927,-47.586599,-2.537017,32.200093,-11.02936,-8.868237,-6.533575,0.416089,14.604052,1.446248,-10.57342,-5.340537,22.389596,4.319242,-19.031218,6.996108,3.907968,-9.58157,-29.386873,15.070764,26.459834,-95.951985,1286.363636,4.231069,34.811264,-17.488889
Feb,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Truck Containers Empty,,40,9.52381,-4.347826,50,-39.393939,-10,0,-5.555556,41.176471,-20.833333,10.526316,90.47619,-55,61.111111,-41.37931,194.117647,76,-59.090909,-100,,,66.666667,6.666667,-18.75,53.846154,455,-83.783784,16.666667,-23.809524
Feb,Truck Containers Loaded,,0,-5.319149,-41.573034,88.461538,39.795918,-27.737226,-12.121212,3.448276,-5.555556,-28.235294,144.262295,-44.295302,-38.554217,-21.568627,20,41.666667,-14.705882,29.310345,-100,,,-28.865979,97.101449,2.941176,-52.857143,1009.090909,-90.710383,210.294118,-19.905213
Feb,Trucks,,74.712644,-15.789474,-33.59375,52.941176,15.384615,-22,-10.25641,-0.952381,2.884615,-26.168224,115.189873,-27.647059,-43.902439,34.782609,-9.677419,38.095238,36.206897,-29.746835,26.126126,6.428571,-28.85906,-20.754717,80.952381,0.657895,-43.79085,853.488372,-89.634146,60,-19.117647
