year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,1096,8.932355
1997,Buses,80,17.130621
1997,Pedestrians,18,1.789264
1997,Personal Vehicle Passengers,66067,18.188851
1997,Personal Vehicles,15063,11.701235
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total,82660,16.212771
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,135,43.40836
1997,Truck Containers Loaded,6,0.337268
1997,Trucks,195,9.493671
1998,Bus Passengers,2,0.014963
1998,Buses,-55,-10.054845
1998,Pedestrians,-539,-52.636719
1998,Personal Vehicle Passengers,31391,7.312221
1998,Personal Vehicles,9972,6.934969
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total,40717,6.87201
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,-70,-15.695067
1998,Truck Containers Loaded,1,0.056022
1998,Trucks,15,0.666963
1999,Bus Passengers,-1212,-9.066427
1999,Buses,-27,-5.487805
1999,Pedestrians,-34,-7.010309
1999,Personal Vehicle Passengers,75875,16.470003
1999,Personal Vehicles,26768,17.408383
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total,101779,16.073194
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-53,-14.095745
1999,Truck Containers Loaded,320,17.917133
1999,Trucks,142,6.272085
2000,Bus Passengers,-4537,-37.323133
2000,Buses,-147,-31.612903
2000,Pedestrians,-142,-31.485588
2000,Personal Vehicle Passengers,-236825,-44.137572
2000,Personal Vehicles,-75269,-41.692655
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total,-317440,-43.189057
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,-71,-21.981424
2000,Truck Containers Loaded,-509,-24.169041
2000,Trucks,60,2.493766
2001,Bus Passengers,1805,23.690773
2001,Buses,112,35.220126
2001,Pedestrians,936,302.912621
2001,Personal Vehicle Passengers,76134,25.400352
