month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,133,-18,-109,-6,13,-50,47,-45,-2,52,-52,0,0,0,0,21,-9,50,-62,0,0,,,,-17,,,-44,
Jan,Buses,,1,1,-3,-1,1,-3,1,0,-1,2,-2,0,0,2,-2,1,0,1,-2,0,0,,,,-1,,,-1,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-10,27,-25,0,-19,19,2,4,-14
Jan,Personal Vehicle Passengers,,-481,2118,-528,148,-2254,-51,-265,-260,-251,1295,-1102,854,-256,-81,-955,228,-108,351,-196,224,-226,220,-385,228,-2785,845,1001,124,-112
Jan,Personal Vehicles,,-374,651,-212,69,-514,-151,-106,-107,-101,63,-3,379,-334,-35,103,347,-164,149,-93,155,-138,63,-168,44,-1357,437,533,-5,-2
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total,,-635,3153,-1420,527,-1970,-553,-329,-951,119,103,-452,1607,-764,-808,-578,1270,839,-289,-496,-371,578,1277,-610,1068,-5967,933,2153,641,-482
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,-20,74,-114,75,-9,41,-54,-59,44,-69,145,58,-82,5,135,211,98,-127,-120,83,-142,-87,51,361,-170,-229,81,63,-117
Jan,Truck Containers Loaded,,150,241,-312,155,369,-244,63,-254,117,-1134,898,131,-21,-353,7,156,433,-299,31,-451,788,639,-117,109,-885,23,242,521,-67
Jan,Trucks,,-44,86,-142,87,424,-95,-15,-226,313,-106,-336,185,-71,-346,134,306,589,-414,-54,-433,306,415,34,308,-733,-162,249,-21,-170
Feb,Bus Passengers,,140,-291,135,-63,192,-167,102,-93,207,-182,-149,0,37,-37,0,20,90,-110,15,-15,0,,-81,,-30,,,,
Feb,Buses,,0,-7,3,0,5,-3,1,-3,5,-6,-4,0,1,0,-1,2,1,-3,1,-1,0,,-2,,-1,,,,
Feb,Pedestrians,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4,3,-8,59,-80,37,5,6,-14
Feb,Personal Vehicle Passengers,,2473,-399,1374,-2036,-1186,-209,-470,-251,138,-171,-2944,4057,-375,109,-1084,754,-313,-20,-77,-41,40,145,-436,180,-2789,937,944,713,-763
Feb,Personal Vehicles,,668,-149,500,-728,-190,-152,-186,-102,62,-146,1072,-804,-153,33,44,563,-327,-12,-61,62,8,-2,-179,97,-1316,422,463,301,-271
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total,,3266,-314,1947,-3006,-927,-1121,-454,-72,625,-1840,-906,3365,-1012,168,-1235,2033,341,-1173,-418,321,-270,1315,-1063,922,-5271,1882,1140,1293,-621
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Truck Containers Empty,,-49,51,-43,17,-3,6,-1,-43,42,-70,124,55,-89,74,58,247,49,-225,-16,104,-159,-62,22,242,-143,-136,76,-59,2
Feb,Truck Containers Loaded,,-64,273,18,-165,275,-296,59,200,118,-1198,797,231,-184,-7,-190,134,359,-288,-132,34,139,647,-237,22,-458,440,-197,454,263
Feb,Trucks,,99,208,-40,-31,-20,-300,41,220,53,-67,198,-174,-249,-4,-62,313,482,-515,-148,138,-294,501,-142,291,-454,182,-151,-122,162
Mar,Bus Passengers,,-163,-17,-21,-7,141,-149,47,-7,-46,-30,-109,89,-16,-129,0,28,15,11,67,-121,0,,,-27,,,,,8
Mar,Buses,,-8,3,3,-7,7,-6,-1,-2,1,0,-4,3,0,-2,-3,2,-1,1,1,-3,0,,,-1,,,,,0
Mar,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,67,-32,11,4,36,-86,,18,45,-68
Mar,Personal Vehicle Passengers,,452,-740,971,-487,-1371,546,-867,52,614,551,-995,2006,-1349,320,-1526,438,-281,-197,254,333,-169,-30,-177,-1451,-1420,868,1117,791,-896
Mar,Personal Vehicles,,-180,-281,383,-210,115,-233,-349,18,254,-294,113,464,-483,46,-63,334,-238,78,93,118,-62,-86,1,-781,-616,408,561,258,-324
Mar,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Total,,-298,-978,1827,-1260,-75,-833,-542,723,496,610,-512,1771,-3271,646,-1811,1943,-484,188,5,-860,517,433,40,-1516,-2984,964,1888,1217,-693
Mar,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Truck Containers Empty,,-33,19,-60,17,48,-15,-22,-3,-25,93,45,-9,-101,83,45,313,61,-16,-275,-172,116,-83,54,361,-215,-180,79,136,-204
Mar,Truck Containers Loaded,,-260,95,326,-775,809,-467,310,313,-186,204,122,-285,-738,165,-133,234,-27,163,-17,-820,900,365,11,-27,-217,-29,-55,221,655
Mar,Trucks,,-106,-57,225,209,176,-509,340,352,-116,86,316,-498,-583,163,-131,594,-13,148,-118,-262,-236,256,119,374,-430,-162,168,-272,136
Apr,Bus Passengers,,222,-251,-136,-245,108,-156,110,-69,-55,171,-269,29,29,10,-13,177,-233,59,-48,-11,0,,,,,,,73,68
Apr,Buses,,10,-9,-4,-10,6,-10,3,-1,10,-8,-4,-3,1,0,0,2,-4,2,-1,-1,0,,,,,,,1,2
Apr,Pedestrians,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,46,24,-20,33,-68,-4,36,21,3,-10
Apr,Personal Vehicle Passengers,,1889,717,-2056,-6345,3946,136,-835,567,-242,2325,684,-1305,-351,282,-1657,225,-1125,997,-394,-90,237,-487,189,-3200,119,1549,740,377,-702
Apr,Personal Vehicles,,216,248,-731,-155,130,-598,-334,243,-118,238,-132,142,-2,17,-121,322,-436,418,-144,-110,103,-197,33,-1523,85,742,311,210,-387
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total,,2774,1213,-2690,-7038,4781,-1591,-498,1726,133,682,1237,-1962,-2236,1650,-2612,2212,-2466,1946,-1392,510,1748,-2048,793,-4859,-571,1817,751,2367,-2727
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,-36,175,-149,65,-38,-2,-51,-34,73,80,-14,87,-121,25,140,140,163,-66,-301,162,12,-207,22,59,50,-205,118,217,-300
Apr,Truck Containers Loaded,,202,281,147,-211,324,-431,304,552,464,-1429,542,-523,-828,621,-531,607,-665,214,-286,586,1725,-1316,324,-77,-512,-78,-396,1082,-726
Apr,Trucks,,271,52,239,-137,305,-530,305,468,0,-694,430,-389,-964,695,-430,739,-166,322,-218,-72,-353,179,192,-50,-309,-227,-68,404,-672
May,Bus Passengers,,260,-257,9,-44,21,-247,-164,86,-157,100,-79,152,-128,-54,-2,-2,84,27,171,-227,-100,108,15,-143,,,,41,-37
May,Buses,,7,1,-3,-1,-2,-6,-2,-1,-4,0,-2,6,-4,-3,1,-1,2,-3,7,-4,-2,6,-3,-5,,,,1,-1
May,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,84,-13,9,-7,-50,6,37,24,-13,2
