year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,445,14.34096
1997,Buses,12,10.619469
1997,Pedestrians,9,900
1997,Personal Vehicle Passengers,7494,8.593347
1997,Personal Vehicles,955,2.903353
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,8903,7.226226
1997,Total Vehicles,11294,59.867479
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,658,148.198198
1997,Truck Containers Loaded,8639,192.662801
1997,Trucks,1985,14.359086
1998,Bus Passengers,-605,-17.05186
1998,Buses,8,6.4
1998,Pedestrians,-10,-100
1998,Personal Vehicle Passengers,-1036,-1.093969
1998,Personal Vehicles,-452,-1.335382
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,-2103,-1.591891
1998,Total Vehicles,1786,5.921947
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,842,76.406534
1998,Truck Containers Loaded,880,6.705784
1998,Trucks,56,0.354229
1999,Bus Passengers,-491,-16.683656
1999,Buses,-16,-12.030075
1999,Pedestrians,3,
1999,Personal Vehicle Passengers,-3610,-3.854161
1999,Personal Vehicles,-1212,-3.629177
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,-5310,-4.08449
1999,Total Vehicles,11,0.034434
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-1146,-58.950617
1999,Truck Containers Loaded,1032,7.369849
1999,Trucks,141,0.888749
2000,Bus Passengers,-133,-5.424144
2000,Buses,-13,-11.111111
2000,Pedestrians,-3,-100
2000,Personal Vehicle Passengers,-24016,-26.668147
2000,Personal Vehicles,-3760,-11.682824
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,-27912,-22.384397
2000,Total Vehicles,57,0.17837
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,385,48.245614
2000,Truck Containers Loaded,-867,-5.766545
2000,Trucks,552,3.448707
