year,month,crossingType,numberOfCrossings
1996,Jan,Bus Passengers,37
1996,Jan,Train Passengers,0
1996,Jan,Personal Vehicle Passengers,4741
1996,Jan,Truck Containers Loaded,849
1996,Jan,Buses,4
1996,Jan,Trucks,1093
1996,Jan,Pedestrians,0
1996,Jan,Truck Containers Empty,91
1996,Jan,Rail Containers Loaded,0
1996,Jan,Rail Containers Empty,0
1996,Jan,Personal Vehicles,2008
1996,Jan,Trains,0
1996,Feb,Rail Containers Empty,0
1996,Feb,Pedestrians,1
1996,Feb,Trains,0
1996,Feb,Rail Containers Loaded,0
1996,Feb,Buses,9
1996,Feb,Personal Vehicle Passengers,3681
1996,Feb,Personal Vehicles,1527
1996,Feb,Bus Passengers,169
1996,Feb,Truck Containers Empty,99
1996,Feb,Train Passengers,0
1996,Feb,Truck Containers Loaded,877
1996,Feb,Trucks,1096
1996,Mar,Rail Containers Loaded,0
1996,Mar,Personal Vehicles,2053
1996,Mar,Buses,16
1996,Mar,Bus Passengers,417
1996,Mar,Pedestrians,0
1996,Mar,Truck Containers Empty,129
1996,Mar,Train Passengers,0
1996,Mar,Trains,0
1996,Mar,Rail Containers Empty,0
1996,Mar,Personal Vehicle Passengers,4747
1996,Mar,Trucks,1183
1996,Mar,Truck Containers Loaded,1339
1996,Apr,Train Passengers,0
1996,Apr,Buses,21
1996,Apr,Trucks,1612
1996,Apr,Truck Containers Empty,125
1996,Apr,Bus Passengers,571
1996,Apr,Truck Containers Loaded,1419
1996,Apr,Personal Vehicle Passengers,6041
1996,Apr,Trains,0
1996,Apr,Personal Vehicles,2621
1996,Apr,Rail Containers Empty,0
1996,Apr,Pedestrians,0
1996,Apr,Rail Containers Loaded,0
1996,May,Trains,0
1996,May,Rail Containers Loaded,0
1996,May,Bus Passengers,571
1996,May,Train Passengers,0
1996,May,Truck Containers Loaded,0
1996,May,Personal Vehicles,2246
1996,May,Trucks,1264
1996,May,Rail Containers Empty,0
1996,May,Buses,16
1996,May,Pedestrians,0
1996,May,Truck Containers Empty,0
1996,May,Personal Vehicle Passengers,5183
1996,Jun,Bus Passengers,556
1996,Jun,Pedestrians,0
1996,Jun,Train Passengers,0
1996,Jun,Personal Vehicles,4166
1996,Jun,Rail Containers Loaded,0
1996,Jun,Personal Vehicle Passengers,11639
1996,Jun,Truck Containers Loaded,0
1996,Jun,Trains,0
1996,Jun,Truck Containers Empty,0
1996,Jun,Rail Containers Empty,0
1996,Jun,Buses,16
1996,Jun,Trucks,1473
1996,Jul,Buses,6
1996,Jul,Truck Containers Loaded,0
1996,Jul,Train Passengers,0
1996,Jul,Rail Containers Loaded,0
1996,Jul,Truck Containers Empty,0
1996,Jul,Personal Vehicle Passengers,12777
1996,Jul,Rail Containers Empty,0
1996,Jul,Pedestrians,0
1996,Jul,Trucks,1069
1996,Jul,Bus Passengers,167
1996,Jul,Personal Vehicles,4559
1996,Jul,Trains,0
1996,Aug,Rail Containers Loaded,0
1996,Aug,Personal Vehicle Passengers,12659
1996,Aug,Truck Containers Empty,0
1996,Aug,Truck Containers Loaded,0
1996,Aug,Trains,0
1996,Aug,Personal Vehicles,4522
1996,Aug,Buses,3
1996,Aug,Trucks,1324
