month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,139,-572,-420,36,187,-142,-9,-60,359,-143,-151,110,3,13,-25,-39,-302,214,-67,-199,67,-140,140,-97,-115,,,-55,-11
Jan,Buses,,-4,-5,-19,-1,13,-10,0,-8,12,-5,-6,4,-2,2,1,-3,-8,3,-2,-2,0,-2,2,-3,-3,,,,1
Jan,Pedestrians,,29,-5,-25,-28,11,79,-40,63,7,-2,-84,-14,-13,-17,4,-8,-2,9,10,-19,-1,0,3,-3,-1,,,,
Jan,Personal Vehicle Passengers,,-503,2923,-1222,1469,-5801,4383,-102,-2792,726,7424,-9611,1185,60,3025,-237,1906,2645,1394,-1512,-4377,459,1021,508,-854,-13808,2382,8187,563,1343
Jan,Personal Vehicles,,-179,-222,791,510,-482,-9,-34,-563,137,509,-29,673,-49,918,2869,1178,1548,960,-873,-491,170,-4118,208,-66,-7073,1248,3846,182,743
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total,,-573,2200,1800,1927,-8064,5002,-1007,-3704,710,8220,-10455,1237,-818,3896,3179,3054,4117,2148,-2759,-4880,652,-3247,791,-1309,-20668,3626,11874,1446,2217
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,53,52,13,-32,-46,-13,26,-54,33,-35,-8,48,37,-18,117,7,-15,-75,-7,-61,314,51,-33,-86,14,-85,-42,15,-8
Jan,Truck Containers Loaded,,-60,-9,1360,-201,-757,363,-437,-125,-287,217,-246,-405,-452,8,173,35,147,-158,-137,188,-407,-59,3,-68,176,121,-125,590,109
Jan,Trucks,,-48,38,1322,174,-1189,351,-411,-165,-277,255,-320,-364,-402,-35,277,-22,104,-199,-171,81,50,0,-40,-132,142,-40,-122,149,40
Feb,Bus Passengers,,-165,-2,-376,295,-245,-464,57,448,-442,-29,-58,530,-463,16,33,-111,-130,429,-368,-202,101,-75,-51,6,-76,,,14,-49
Feb,Buses,,0,13,-24,18,-8,-9,-14,13,-9,-1,-4,9,-13,3,-1,0,-8,16,-13,-7,3,-3,-1,1,-3,,,1,0
Feb,Pedestrians,,24,9,1,-32,2,10,34,60,-6,-11,-65,-38,-11,-2,-3,-10,3,26,-3,-19,0,-3,-6,,-14,,-1,,
Feb,Personal Vehicle Passengers,,2001,-159,1661,2075,-7325,3888,-1186,-134,951,6351,-9879,3499,-1046,3362,2538,2078,3360,-870,-1784,-4410,510,1732,-1517,1947,-18945,3873,9261,1163,-2085
Feb,Personal Vehicles,,707,-56,575,722,-824,-375,-413,206,194,226,-99,1750,-523,977,4201,483,1667,-902,739,-972,-787,-2825,-713,1329,-9100,1973,4037,593,-932
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total,,2461,104,4731,2938,-10473,3397,-2104,698,-335,6850,-10537,4986,-2854,4396,7185,3007,4640,-1698,-1516,-5524,-431,-1146,-2438,3217,-27764,6141,12733,2447,-3088
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Truck Containers Empty,,2,97,-23,-45,-57,12,0,-29,-10,3,-1,22,46,-30,104,58,-91,-40,4,-50,247,63,-117,84,-59,-56,-2,0,-64
Feb,Truck Containers Loaded,,-273,44,1495,-2,-1012,192,-289,84,-504,156,-211,-409,-422,32,114,244,-42,-158,-56,135,-429,-50,44,-125,273,219,-351,556,64
Feb,Trucks,,165,158,1422,-93,-1004,143,-293,50,-509,155,-220,-377,-422,38,199,265,-119,-199,-35,1,-76,15,-77,-39,160,131,-305,120,-22
Mar,Bus Passengers,,-329,44,-297,1053,-126,-495,-826,74,77,-50,-54,102,-9,-74,-43,40,168,36,-123,-208,-159,79,109,-191,-61,,,,
Mar,Buses,,-10,17,-30,27,7,-26,-20,4,7,-8,-3,2,-1,-1,-2,3,-1,6,-3,-8,-2,0,4,-7,-2,,,,
Mar,Pedestrians,,43,-39,-41,26,1,-26,61,111,-65,-8,-92,-38,13,-4,-12,1,-5,8,8,-12,3,-9,,2,-2,-4,,,
