month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,11.459192,-42.307692,-53.846154,10,47.222222,-24.356775,-2.040816,-13.888889,96.505376,-19.562244,-25.680272,25.171625,0.548446,2.363636,-4.440497,-7.249071,-60.521042,108.629442,-16.301703,-57.848837,46.206897,-66.037736,194.444444,-45.754717,-100,,,-42.307692,-14.666667
Jan,Buses,,-8.695652,-11.904762,-51.351351,-5.555556,76.470588,-33.333333,0,-40,100,-20.833333,-31.578947,30.769231,-11.764706,13.333333,5.882353,-16.666667,-53.333333,42.857143,-20,-25,0,-33.333333,50,-50,-100,,,,50
Jan,Pedestrians,,61.702128,-6.578947,-35.211268,-60.869565,61.111111,272.413793,-37.037037,92.647059,5.343511,-1.449275,-61.764706,-26.923077,-34.210526,-68,50,-66.666667,-50,450,90.909091,-90.47619,-50,0,300,-75,-100,,,,
Jan,Personal Vehicle Passengers,,-4.207797,25.526155,-8.501461,11.169404,-39.675809,49.693878,-0.772552,-21.31135,7.04239,67.276846,-52.066743,13.392857,0.598027,29.971267,-1.806678,14.796988,17.887333,7.996788,-8.031446,-25.28012,3.547963,7.621678,3.523618,-5.721943,-98.130908,905.703422,309.52741,5.197563,11.785871
Jan,Personal Vehicles,,-4.483968,-5.822187,22.02729,11.638521,-9.852821,-0.204082,-0.772552,-12.892146,3.601472,12.915504,-0.651685,15.2228,-0.961916,18.196234,48.113366,13.337862,15.464535,8.305935,-6.973958,-4.216402,1.524117,-36.365242,2.886483,-0.890208,-96.257485,453.818182,252.527905,3.389831,13.384976
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total,,-2.761047,10.901883,8.042895,7.969396,-30.888268,27.722663,-4.369711,-16.807333,3.872586,43.163201,-38.347271,7.359153,-4.53286,22.614349,15.049233,12.56635,15.049165,6.824681,-8.205937,-15.811813,2.509333,-12.190726,3.382076,-5.413789,-90.371666,164.668483,203.740563,8.168569,11.578233
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,165.625,61.176471,9.489051,-21.333333,-38.983051,-18.055556,44.067797,-63.529412,106.451613,-54.6875,-27.586207,228.571429,53.623188,-16.981132,132.954545,3.414634,-7.075472,-38.071066,-5.737705,-53.043478,581.481481,13.858696,-7.875895,-22.279793,4.666667,-27.070064,-18.340611,8.02139,-3.960396
Jan,Truck Containers Loaded,,-3.569304,-0.555213,84.367246,-6.763122,-27.318658,18.023833,-18.384518,-6.443299,-15.812672,14.201571,-14.097421,-27.018012,-41.316271,1.246106,26.615385,4.252734,17.132867,-15.721393,-16.174734,26.478873,-45.32294,-12.016293,0.694444,-15.632184,47.956403,22.28361,-18.825301,109.461967,9.654562
Jan,Trucks,,-2.684564,2.183908,74.353206,5.612903,-36.316432,16.834532,-16.871921,-8.148148,-14.892473,16.108654,-17.410229,-23.97892,-34.835355,-4.654255,38.633194,-2.21328,10.699588,-18.494424,-19.49829,11.473088,6.35324,0,-4.778973,-16.562108,21.353383,-4.956629,-15.906128,23.100775,5.037783
Feb,Bus Passengers,,-12.295082,-0.169924,-32,36.921151,-22.394881,-54.652532,14.805195,101.357466,-49.662921,-6.473214,-13.842482,146.814404,-51.964085,3.738318,7.432432,-23.27044,-35.519126,181.779661,-55.338346,-68.013468,106.315789,-38.265306,-42.14876,8.571429,-100,,,15.217391,-46.226415
Feb,Buses,,0,30.952381,-43.636364,58.064516,-16.326531,-21.95122,-43.75,72.222222,-29.032258,-4.545455,-19.047619,52.941176,-50,23.076923,-6.25,0,-53.333333,228.571429,-56.521739,-70,100,-50,-33.333333,50,-100,,,50,0
Feb,Pedestrians,,60,14.0625,1.369863,-43.243243,4.761905,22.727273,62.962963,68.181818,-4.054054,-7.746479,-49.618321,-57.575758,-39.285714,-11.764706,-20,-83.333333,150,520,-9.677419,-67.857143,0,-33.333333,-100,,-100,,-100,,
Feb,Personal Vehicle Passengers,,17.447031,-1.180401,12.478401,13.859204,-42.969437,39.991771,-8.714181,-1.078558,7.737998,47.964655,-50.423642,36.023886,-7.917045,27.634391,16.344668,11.502269,16.679905,-3.701498,-7.881948,-21.151079,3.10219,10.218289,-8.120116,11.342849,-99.126203,2319.161677,229.232673,8.743703,-14.4151
Feb,Personal Vehicles,,17.705985,-1.191489,12.381568,13.834068,-13.869719,-7.328513,-8.709405,4.758605,4.277839,4.779023,-1.997982,36.037891,-7.917045,16.061154,59.504249,4.28914,14.194482,-6.725822,5.907746,-7.336957,-6.410883,-24.588737,-8.229455,16.714879,-98.060345,1096.111111,187.505806,9.579968,-13.740233
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Total,,12.175333,0.458675,20.770041,10.680141,-34.397478,17.007109,-9.00261,3.28208,-1.525154,31.668978,-36.997893,27.787995,-12.447119,21.897883,29.361285,9.498989,13.386031,-4.320281,-4.031379,-15.306603,-1.41011,-3.803013,-8.410377,12.116761,-93.271072,306.590115,156.348232,11.721033,-13.239582
Feb,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,Truck Containers Empty,,2.352941,111.494253,-12.5,-27.950311,-49.137931,20.338983,0,-40.84507,-23.809524,9.375,-2.857143,64.705882,82.142857,-29.411765,144.444444,32.954545,-38.888889,-27.972028,3.883495,-46.728972,433.333333,20.723684,-31.880109,33.6,-17.664671,-20.363636,-0.913242,0,-29.493088
Feb,Truck Containers Loaded,,-15.537849,2.96496,97.840314,-0.066159,-33.498841,9.556994,-13.130395,4.393305,-25.250501,10.455764,-12.803398,-28.462074,-41.050584,5.280528,17.868339,32.446809,-4.216867,-16.561845,-7.035176,18.243243,-49.028571,-11.210762,11.111111,-28.409091,86.666667,37.244898,-43.494424,121.929825,6.324111
Feb,Trucks,,11.111111,9.575758,78.650442,-2.879257,-32.0051,6.704173,-12.873462,2.521432,-25.036891,10.170604,-13.103038,-25.839616,-39.001848,5.757576,28.510029,29.542921,-10.240964,-19.079578,-4.146919,0.123609,-9.382716,2.043597,-10.280374,-5.803571,25.276461,16.519546,-33.008658,19.386107,-2.976996
Mar,Bus Passengers,,-26.049089,4.710921,-30.368098,154.625551,-7.266436,-30.783582,-74.213836,25.783972,21.32964,-11.415525,-13.917526,30.538922,-2.06422,-17.330211,-12.181303,12.903226,48,6.949807,-22.202166,-48.259861,-71.300448,123.4375,76.223776,-75.793651,-100,,,,
Mar,Buses,,-21.276596,45.945946,-55.555556,112.5,13.72549,-44.827586,-62.5,33.333333,43.75,-34.782609,-20,16.666667,-7.142857,-7.692308,-16.666667,30,-7.692308,50,-16.666667,-53.333333,-28.571429,0,80,-77.777778,-100,,,,
Mar,Pedestrians,,56.578947,-32.773109,-51.25,66.666667,1.538462,-39.393939,152.5,109.90099,-30.660377,-5.442177,-66.18705,-80.851064,144.444444,-18.181818,-66.666667,16.666667,-71.428571,400,80,-66.666667,50,-100,,50,-33.333333,-100,,,
Mar,Personal Vehicle Passengers,,16.38602,-9.142857,8.778268,15.161767,-35.170646,13.395947,-7.396106,-1.412208,6.063982,59.116146,-47.187249,38.678571,-20.074685,39.262123,6.114068,13.742164,23.789897,-16.051103,-11.543073,-3.816277,-3.355195,16.410544,-8.094045,-63.488153,-95.951184,1875.531915,150.619278,24.187079,-26.339466
