year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,-2474,-21.007048
1997,Buses,-27,-6.801008
1997,Pedestrians,-248,-22.627737
1997,Personal Vehicle Passengers,-42617,-15.91083
1997,Personal Vehicles,-4523,-5.203396
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,-49862,-13.562503
1997,Total Vehicles,-3495,-8.295751
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,-98,-7.075812
1997,Truck Containers Loaded,-1594,-8.267206
1997,Trucks,-1776,-8.430246
1998,Bus Passengers,-2446,-26.292594
1998,Buses,-27,-7.297297
1998,Pedestrians,-49,-5.778302
1998,Personal Vehicle Passengers,40459,17.963256
1998,Personal Vehicles,2178,2.643172
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,40142,12.631851
1998,Total Vehicles,1877,4.858289
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,614,47.707848
1998,Truck Containers Loaded,417,2.357664
1998,Trucks,873,4.525426
1999,Bus Passengers,-1670,-24.354674
1999,Buses,-141,-41.107872
1999,Pedestrians,-112,-14.017522
1999,Personal Vehicle Passengers,7320,2.75508
1999,Personal Vehicles,3602,4.25874
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,9140,2.5536
1999,Total Vehicles,15877,39.190857
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-455,-23.934771
1999,Truck Containers Loaded,8482,46.851525
1999,Trucks,7991,39.630034
2000,Bus Passengers,696,13.418161
2000,Buses,16,7.920792
2000,Pedestrians,41,5.967977
2000,Personal Vehicle Passengers,-26537,-9.720121
2000,Personal Vehicles,790,0.895885
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,-25010,-6.813489
2000,Total Vehicles,-1995,-3.537924
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,-289,-19.986169
