month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,
Jan,Personal Vehicle Passengers,,-22.381477,-100,,,13.669951,-33.152763,19.448947,-40.976934,12.413793,9.406953,17.757009,52.698413,-52.598753,-100,,18.330309,3.834356,33.825702,-15.011038,-14.025974,-10.725076,11.844332,-5.143722,-3.030303,-91.447368,148.076923,314.728682,4.672897,-1.071429
Jan,Personal Vehicles,,-13.429257,-100,,,35.626536,-34.057971,5.21978,-37.859008,33.193277,-12.302839,13.309353,22.222222,-40.779221,0,29.824561,20.27027,-23.033708,21.532847,41.441441,-30.360934,29.268293,-15.330189,0.557103,-5.263158,-88.596491,97.435897,257.142857,5.454545,6.206897
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Total,,-17.669173,-100,,,36.237785,-36.102809,15.528531,-40.323887,26.458616,-5.257511,14.722537,36.920039,-47.945205,-62.465374,247.232472,55.472901,-9.36432,-0.980392,11.271896,-31.964408,9.356137,-4.139834,-1.439539,-0.584226,-66.601371,-31.671554,268.240343,4.428904,5.915179
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,87.5,-80,-100,,110,-19.047619,-94.117647,-100,,20,-75,100,-16.666667,0,-100,,-47.619048,63.636364,27.777778,278.26087,-95.402299,150,0,320
Jan,Truck Containers Loaded,,,,,,,-68.131868,93.103448,-42.857143,62.5,-73.076923,21.428571,11.764706,-100,,250,588.571429,-23.651452,-82.608696,228.125,-100,,-100,,450,354.545455,-76,50,-11.111111,-87.5
