month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,-117,1818,-383,-1110,-440,-329,62,205,39,-89,-383,-206,99,97,-88,-61,-8,-112,370,-317,-94,101,-13,-114,-44,,-18,,
Jan,Buses,,-18,4,28,-28,-9,-7,2,2,4,-25,-16,-4,2,35,-34,-5,3,-3,12,-9,-4,4,-1,-4,-1,,-1,,
Jan,Pedestrians,,-185,80,176,186,-911,-124,-91,116,-243,-10,34,7,-142,266,-148,194,51,-41,-326,384,-183,19,-53,55,-132,-46,108,-152,
Jan,Personal Vehicle Passengers,,-2086,-4324,-1603,6788,-33037,395,23853,1570,-5892,15892,-27396,-1712,-4397,11826,-15296,3047,1476,761,-1760,-1050,-2768,122,-1147,-1958,-21803,10360,7962,-624,419
Jan,Personal Vehicles,,70,-1216,-496,1841,-4034,896,444,1098,-719,1457,1736,-859,-2200,5916,-1116,266,1236,-311,-377,293,-4693,-2441,-923,-832,-10671,5181,3563,-472,-79
Jan,Rail Containers Empty,,45,299,-343,141,603,-207,-178,214,-190,127,215,7,-4,-417,249,508,376,631,-1307,-343,-95,-86,-19,87,-150,105,96,-294,420
Jan,Rail Containers Loaded,,-8,116,-192,58,321,134,-86,822,-383,-86,144,-284,-340,-255,24,-227,114,-144,207,71,585,-456,876,-143,-133,247,510,-615,-11
Jan,Total People,,-2322,-3662,-2303,7726,-38431,865,24232,3007,-6818,17241,-25841,-2842,-6652,18093,-16648,3494,2767,303,-2141,-720,-7720,-2235,-2085,-2828,-32792,15493,11567,-1248,429
Jan,Total Vehicles,,1435,1381,414,1350,3801,-560,-2815,-307,-1016,2575,902,1447,-3755,-1844,1700,1265,2951,276,-1575,-2313,1104,-594,3927,-1540,1507,-1889,2534,8416,2694
Jan,Train Passengers,,-4,-20,3,21,-9,27,-36,18,-3,-9,168,-72,-12,-12,0,48,12,6,-48,-30,18,-36,51,21,-142,-20,-48,,
Jan,Trains,,-1,2,1,7,-3,0,-3,6,-1,-3,12,-12,-2,-2,0,8,2,1,-8,-5,5,-8,9,6,-2,-2,5,-11,7
Jan,Truck Containers Empty,,-361,471,-363,42,53,448,-847,-151,-22,449,-34,101,171,128,376,533,696,53,-603,-753,-223,163,-20,450,173,-432,-519,506,43
Jan,Truck Containers Loaded,,1209,10,595,637,1222,-867,-315,-627,-221,870,310,769,-1892,-953,639,-53,904,-602,460,-294,1030,-274,1659,-1146,728,-965,1646,8023,1186
Jan,Trucks,,569,479,688,493,1614,-61,-1388,-573,-203,1243,271,870,-1690,-380,446,501,856,340,-336,-980,-194,63,1423,-790,892,-843,797,807,1047
Feb,Bus Passengers,,409,-348,133,872,-545,-836,484,224,340,-787,-241,-14,-220,-3,543,-692,212,119,-212,-401,28,39,176,-167,-342,,,73,10
Feb,Buses,,-9,-6,-2,21,-14,-18,10,7,1,-43,1,-8,-1,-2,12,-15,9,-1,-5,-6,-1,0,8,-7,-11,,,2,0
Feb,Pedestrians,,-100,0,25,419,-1041,-292,-19,54,-49,-128,36,-69,80,72,-87,236,100,-198,-261,311,-148,-44,4,89,-125,-88,,-187,
Feb,Personal Vehicle Passengers,,1792,-7717,2168,8538,-27730,-4845,13228,12376,-8460,12079,-24886,3751,-4205,6743,-8034,3525,3881,-3528,-2412,-4856,-632,142,-3185,1540,-20842,4767,12334,1745,-4462
Feb,Personal Vehicles,,675,-2050,470,2280,-4505,664,-1906,3646,-1003,791,639,1876,-2105,3373,93,1340,784,-2805,968,-1801,-2925,-1788,-1831,1306,-10144,2197,5672,672,-1899
Feb,Rail Containers Empty,,-216,213,-277,283,288,-195,-88,94,109,-3,-9,179,-99,-298,43,1333,-639,-355,-35,-147,87,-446,-106,210,-218,125,433,-290,139
Feb,Rail Containers Loaded,,-337,433,-144,-167,116,113,-6,1315,-1016,190,-75,-142,-77,-344,-378,557,-319,-640,518,488,253,-311,-44,645,-563,637,408,414,-1182
Feb,Total People,,2764,-10131,2793,12154,-33869,-5243,11715,16306,-9169,11952,-24350,5520,-6450,10173,-7497,4475,4965,-6442,-1941,-6729,-3665,-1687,-4869,2849,-31616,6853,18348,2303,-6351
Feb,Total Vehicles,,-1100,3608,708,2182,15,-430,-2814,1962,-2253,1957,1750,417,-3545,-383,-750,4812,-1373,1740,-994,-971,-255,-1710,1697,2561,-1712,-9119,11149,11207,-1083
Feb,Train Passengers,,-12,-16,-3,45,-48,66,-72,6,3,-3,102,-24,0,-12,-12,66,-12,-30,-24,18,12,-36,-33,81,-163,-23,,,
Feb,Trains,,-3,4,-1,15,-16,-2,0,2,1,-1,2,-4,0,-2,-2,11,-2,-5,-4,3,5,-9,-3,11,-8,9,5,-4,-2
Feb,Truck Containers Empty,,6,265,-128,142,-53,334,-627,-210,71,211,-348,652,12,461,-6,678,-27,682,-743,-736,-148,19,155,410,174,-1301,403,447,425
Feb,Truck Containers Loaded,,-1210,1831,748,376,808,-509,-846,528,-735,686,1294,-420,-1924,68,-566,1054,-1096,1437,152,-71,379,-562,736,664,-870,-3887,5072,8912,-777
Feb,Trucks,,669,868,512,1512,-1114,-153,-1257,226,-684,917,885,160,-1456,-266,147,1194,701,622,-877,-502,-830,-401,951,628,-216,-4702,4824,1726,314
Mar,Bus Passengers,,-61,-222,612,388,-230,-438,-65,418,962,-704,-585,-238,-566,414,-335,137,40,-551,128,79,2,-56,-201,-285,-12,,,,
