year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,821,5.653102
1997,Buses,-49,-6.186869
1997,Pedestrians,-2509,-16.7871
1997,Personal Vehicle Passengers,-89,-0.012688
1997,Personal Vehicles,1765,0.869257
1997,Rail Containers Empty,2033,43.06291
1997,Rail Containers Loaded,-99,-0.585003
1997,Total People,-138,-0.014756
1997,Total Vehicles,14854,6.759376
1997,Train Passengers,-126,-10.235581
1997,Trains,2,0.632911
1997,Truck Containers Empty,71,0.482796
1997,Truck Containers Loaded,6024,7.032126
1997,Trucks,6872,7.111516
1998,Bus Passengers,3071,20.014338
1998,Buses,59,7.940781
1998,Pedestrians,779,6.263568
1998,Personal Vehicle Passengers,-100046,-14.264124
1998,Personal Vehicles,-19131,-9.340761
1998,Rail Containers Empty,-1152,-17.056559
1998,Rail Containers Loaded,-411,-2.442939
1998,Total People,-115394,-12.340548
1998,Total Vehicles,14923,6.360823
1998,Train Passengers,-67,-6.063348
1998,Trains,28,8.805031
1998,Truck Containers Empty,1369,9.264397
1998,Truck Containers Loaded,7275,7.934517
1998,Trucks,7755,7.492464
1999,Bus Passengers,11200,60.819984
1999,Buses,1421,177.182045
1999,Pedestrians,5507,41.669189
1999,Personal Vehicle Passengers,85681,14.24844
1999,Personal Vehicles,13128,7.07019
1999,Rail Containers Empty,-247,-4.40914
1999,Rail Containers Loaded,-453,-2.760007
1999,Total People,115558,14.097837
1999,Total Vehicles,13135,5.263875
1999,Train Passengers,42,4.046243
1999,Trains,14,4.046243
1999,Truck Containers Empty,-1068,-6.614641
1999,Truck Containers Loaded,7189,7.264331
1999,Trucks,6279,5.643588
2000,Bus Passengers,-9007,-30.413642
2000,Buses,-1358,-61.088619
2000,Pedestrians,-6262,-33.445495
2000,Personal Vehicle Passengers,-9999,-1.455423
2000,Personal Vehicles,1517,0.763044
2000,Rail Containers Empty,3128,58.412698
2000,Rail Containers Loaded,-1677,-10.507519
2000,Total People,-23483,-2.510896
