year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total People,,
1996,Total Vehicles,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,191,22.106481
1997,Buses,2,8.333333
1997,Pedestrians,0,
1997,Personal Vehicle Passengers,235,1.229272
1997,Personal Vehicles,12,0.152594
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total People,438,1.572993
1997,Total Vehicles,552,69.346734
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,-6,-10.714286
1997,Truck Containers Loaded,274,82.035928
1997,Trucks,282,73.82199
1998,Bus Passengers,-407,-38.578199
1998,Buses,-9,-34.615385
1998,Pedestrians,0,
1998,Personal Vehicle Passengers,-4197,-21.687681
1998,Personal Vehicles,-1591,-20.200609
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total People,-6195,-21.903617
1998,Total Vehicles,-556,-41.246291
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,-12,-24
1998,Truck Containers Loaded,-254,-41.776316
1998,Trucks,-281,-42.319277
1999,Bus Passengers,-259,-39.969136
1999,Buses,-8,-47.058824
1999,Pedestrians,0,
1999,Personal Vehicle Passengers,-659,-4.3484
1999,Personal Vehicles,0,0
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total People,-918,-4.156103
1999,Total Vehicles,-153,-19.318182
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,-10,-26.315789
1999,Truck Containers Loaded,-68,-19.20904
1999,Trucks,-67,-17.493473
2000,Bus Passengers,343,88.174807
2000,Buses,11,122.222222
2000,Pedestrians,0,
2000,Personal Vehicle Passengers,-1700,-11.727373
2000,Personal Vehicles,-559,-8.894193
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total People,-1916,-9.050543
2000,Total Vehicles,498,77.934272
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,1,3.571429
2000,Truck Containers Loaded,245,85.664336
2000,Trucks,241,76.265823
