month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Jan,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Personal Vehicle Passengers,,268,34,-58,-13,-8,64,-19,-522,5,-51,9,-162,97,4,-24,48,-43
Jan,Personal Vehicles,,161,-46,-19,-297,310,19,46,-283,-3,-18,8,-79,47,4,-9,67,-65
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Total,,430,-18,-68,-314,371,23,109,-903,4,-51,-3,-239,152,5,-40,155,-142
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Truck Containers Empty,,0,0,0,0,0,2,2,-4,0,2,-2,1,-1,0,0,0,0
Jan,Truck Containers Loaded,,0,0,0,0,0,6,40,-46,1,7,-8,0,5,-5,0,0,0
Jan,Trucks,,1,-6,9,-4,69,-68,40,-48,1,9,-10,1,4,2,-7,40,-34
Feb,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Personal Vehicle Passengers,,-109,-5,110,-20,-63,54,-113,-367,-10,-103,-2,62,-43,-114,98,-15,-83
Feb,Personal Vehicles,,104,-68,39,-14,-11,-25,24,-196,-9,-56,8,24,-26,-49,54,0,-54
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Total,,-4,-82,158,-34,-50,9,-97,-567,19,-181,-14,86,-69,-160,151,0,-154
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Truck Containers Empty,,0,0,0,0,0,4,-3,-1,0,10,-10,0,0,0,0,0,0
