month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Jan,Bus Passengers,,,,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,
Jan,Personal Vehicle Passengers,,59.161148,4.715673,-7.682119,-1.865136,-1.169591,9.467456,-2.567568,-72.399445,2.512563,-25,5.882353,-100,,4.123711,-23.762376,62.337662,-34.4
Jan,Personal Vehicles,,80.099502,-12.707182,-6.012658,-100,,6.129032,13.981763,-75.466667,-3.26087,-20.224719,11.267606,-100,,8.510638,-17.647059,159.52381,-59.633028
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,
Jan,Total People,,65.59633,-1.108033,-7.189542,-31.187123,44.152047,8.41785,2.525725,-73.448905,0.687285,-23.549488,7.589286,-100,,5.555556,-21.710526,96.638655,-46.153846
Jan,Total Vehicles,,14.285714,-75,450,-36.363636,985.714286,-78.947368,512.5,-100,,900,-100,,400,-30,-100,,-85
Jan,Train Passengers,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,,100,-100,,,-100,,-100,,,,
Jan,Truck Containers Loaded,,,,,,,,666.666667,-100,,700,-100,,,-100,,,
Jan,Trucks,,14.285714,-75,450,-36.363636,985.714286,-89.473684,500,-100,,900,-100,,400,40,-100,,-85
Feb,Bus Passengers,,,,,,,,,,,,,,,,,,
Feb,Buses,,,,,,,,,,,,,,,,,,
Feb,Pedestrians,,,,,,,,,,,,,,,,,,
Feb,Personal Vehicle Passengers,,-15.076072,-0.814332,18.062397,-2.781641,-9.012876,8.490566,-16.376812,-63.604853,-4.761905,-51.5,-2.061856,65.263158,-27.388535,-100,,-15.306122,-100
Feb,Personal Vehicles,,40.784314,-18.941504,13.402062,-4.242424,-3.481013,-8.196721,8.571429,-64.473684,-8.333333,-56.565657,18.604651,47.058824,-34.666667,-100,,0,-100
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,
