year,crossingType,absoluteChange,pctChange
1996,Bus Passengers,,
1996,Buses,,
1996,Pedestrians,,
1996,Personal Vehicle Passengers,,
1996,Personal Vehicles,,
1996,Rail Containers Empty,,
1996,Rail Containers Loaded,,
1996,Total,,
1996,Train Passengers,,
1996,Trains,,
1996,Truck Containers Empty,,
1996,Truck Containers Loaded,,
1996,Trucks,,
1997,Bus Passengers,46,46.464646
1997,Buses,1,33.333333
1997,Pedestrians,0,
1997,Personal Vehicle Passengers,2208,21.520468
1997,Personal Vehicles,953,19.268095
1997,Rail Containers Empty,0,
1997,Rail Containers Loaded,0,
1997,Total,3174,20.546349
1997,Train Passengers,0,
1997,Trains,0,
1997,Truck Containers Empty,0,
1997,Truck Containers Loaded,0,
1997,Trucks,-34,-24.285714
1998,Bus Passengers,-56,-38.62069
1998,Buses,-1,-25
1998,Pedestrians,0,
1998,Personal Vehicle Passengers,-1144,-9.175489
1998,Personal Vehicles,-398,-6.746906
1998,Rail Containers Empty,0,
1998,Rail Containers Loaded,0,
1998,Total,-1627,-8.736978
1998,Train Passengers,0,
1998,Trains,0,
1998,Truck Containers Empty,0,
1998,Truck Containers Loaded,0,
1998,Trucks,-28,-26.415094
1999,Bus Passengers,-13,-14.606742
1999,Buses,-1,-33.333333
1999,Pedestrians,0,
1999,Personal Vehicle Passengers,1835,16.204521
1999,Personal Vehicles,652,11.85239
1999,Rail Containers Empty,0,
1999,Rail Containers Loaded,0,
1999,Total,2638,15.522212
1999,Train Passengers,0,
1999,Trains,0,
1999,Truck Containers Empty,0,
1999,Truck Containers Loaded,0,
1999,Trucks,165,211.538462
2000,Bus Passengers,-76,-100
2000,Buses,-2,-100
2000,Pedestrians,0,
2000,Personal Vehicle Passengers,-1774,-13.481268
2000,Personal Vehicles,-1299,-21.111653
2000,Rail Containers Empty,0,
2000,Rail Containers Loaded,0,
2000,Total,-3143,-16.008761
2000,Train Passengers,0,
2000,Trains,0,
2000,Truck Containers Empty,0,
2000,Truck Containers Loaded,0,
2000,Trucks,8,3.292181
2001,Bus Passengers,27,
2001,Buses,1,
2001,Pedestrians,35,
2001,Personal Vehicle Passengers,-492,-4.321476
2001,Personal Vehicles,-79,-1.627524
2001,Rail Containers Empty,0,
2001,Rail Containers Loaded,0,
2001,Total,-346,-2.098241
2001,Train Passengers,0,
