year,month,crossingType,numberOfCrossings
1996,Jan,Bus Passengers,0
1996,Jan,Buses,0
1996,Jan,Rail Containers Loaded,0
1996,Jan,Personal Vehicles,201
1996,Jan,Truck Containers Loaded,0
1996,Jan,Trains,0
1996,Jan,Personal Vehicle Passengers,453
1996,Jan,Trucks,7
1996,Jan,Train Passengers,0
1996,Jan,Pedestrians,0
1996,Jan,Rail Containers Empty,0
1996,Jan,Truck Containers Empty,0
1996,Feb,Trucks,11
1996,Feb,Truck Containers Loaded,0
1996,Feb,Personal Vehicle Passengers,723
1996,Feb,Rail Containers Loaded,0
1996,Feb,Trains,0
1996,Feb,Buses,0
1996,Feb,Truck Containers Empty,0
1996,Feb,Personal Vehicles,255
1996,Feb,Bus Passengers,0
1996,Feb,Rail Containers Empty,0
1996,Feb,Train Passengers,0
1996,Feb,Pedestrians,0
1996,Mar,Train Passengers,0
1996,Mar,Rail Containers Empty,0
1996,Mar,Personal Vehicles,303
1996,Mar,Rail Containers Loaded,0
1996,Mar,Trucks,25
1996,Mar,Trains,0
1996,Mar,Bus Passengers,0
1996,Mar,Personal Vehicle Passengers,682
1996,Mar,Buses,0
1996,Mar,Truck Containers Empty,0
1996,Mar,Pedestrians,0
1996,Mar,Truck Containers Loaded,0
1996,Apr,Rail Containers Loaded,0
1996,Apr,Bus Passengers,0
1996,Apr,Truck Containers Loaded,0
1996,Apr,Rail Containers Empty,0
1996,Apr,Buses,0
1996,Apr,Trucks,6
1996,Apr,Truck Containers Empty,0
1996,Apr,Trains,0
1996,Apr,Personal Vehicle Passengers,574
1996,Apr,Personal Vehicles,246
1996,Apr,Pedestrians,0
1996,Apr,Train Passengers,0
1996,May,Rail Containers Loaded,0
1996,May,Personal Vehicles,448
1996,May,Bus Passengers,47
1996,May,Trains,0
1996,May,Pedestrians,0
1996,May,Truck Containers Loaded,0
1996,May,Personal Vehicle Passengers,1019
1996,May,Rail Containers Empty,0
1996,May,Buses,1
1996,May,Truck Containers Empty,0
1996,May,Train Passengers,0
1996,May,Trucks,7
1996,Jun,Bus Passengers,0
1996,Jun,Trucks,9
1996,Jun,Buses,0
1996,Jun,Train Passengers,0
1996,Jun,Personal Vehicle Passengers,1034
1996,Jun,Personal Vehicles,430
1996,Jun,Trains,0
1996,Jun,Truck Containers Empty,0
1996,Jun,Rail Containers Empty,0
1996,Jun,Pedestrians,0
1996,Jun,Truck Containers Loaded,0
1996,Jun,Rail Containers Loaded,0
1996,Jul,Train Passengers,0
1996,Jul,Buses,0
1996,Jul,Pedestrians,0
1996,Jul,Trucks,3
1996,Jul,Rail Containers Empty,0
1996,Jul,Rail Containers Loaded,0
1996,Jul,Truck Containers Empty,0
1996,Jul,Personal Vehicles,504
1996,Jul,Trains,0
1996,Jul,Truck Containers Loaded,0
1996,Jul,Personal Vehicle Passengers,1079
1996,Jul,Bus Passengers,0
1996,Aug,Buses,1
1996,Aug,Rail Containers Loaded,0
1996,Aug,Truck Containers Loaded,0
1996,Aug,Truck Containers Empty,0
1996,Aug,Train Passengers,0
1996,Aug,Trains,0
1996,Aug,Rail Containers Empty,0
1996,Aug,Bus Passengers,26
1996,Aug,Personal Vehicle Passengers,1077
1996,Aug,Trucks,22
1996,Aug,Pedestrians,0
1996,Aug,Personal Vehicles,649
1996,Sep,Rail Containers Empty,0
1996,Sep,Buses,0
1996,Sep,Rail Containers Loaded,0
1996,Sep,Personal Vehicle Passengers,939
1996,Sep,Bus Passengers,0
1996,Sep,Personal Vehicles,570
1996,Sep,Truck Containers Loaded,0
1996,Sep,Train Passengers,0
1996,Sep,Trucks,10
1996,Sep,Pedestrians,0
1996,Sep,Truck Containers Empty,0
1996,Sep,Trains,0
1996,Oct,Rail Containers Empty,0
1996,Oct,Trains,0
1996,Oct,Personal Vehicles,614
1996,Oct,Personal Vehicle Passengers,1204
1996,Oct,Buses,1
1996,Oct,Bus Passengers,26
1996,Oct,Truck Containers Loaded,0
1996,Oct,Train Passengers,0
1996,Oct,Rail Containers Loaded,0
1996,Oct,Pedestrians,0
1996,Oct,Truck Containers Empty,0
1996,Oct,Trucks,14
1996,Nov,Rail Containers Empty,0
1996,Nov,Truck Containers Empty,0
1996,Nov,Buses,0
1996,Nov,Train Passengers,0
1996,Nov,Bus Passengers,0
1996,Nov,Personal Vehicle Passengers,776
1996,Nov,Trucks,16
1996,Nov,Personal Vehicles,384
1996,Nov,Rail Containers Loaded,0
1996,Nov,Trains,0
1996,Nov,Truck Containers Loaded,0
1996,Nov,Pedestrians,0
1996,Dec,Truck Containers Loaded,0
1996,Dec,Personal Vehicle Passengers,700
1996,Dec,Buses,0
1996,Dec,Rail Containers Empty,0
1996,Dec,Trucks,10
1996,Dec,Bus Passengers,0
1996,Dec,Rail Containers Loaded,0
1996,Dec,Train Passengers,0
1996,Dec,Pedestrians,0
1996,Dec,Trains,0
1996,Dec,Personal Vehicles,342
1996,Dec,Truck Containers Empty,0
1997,Jan,Pedestrians,0
1997,Jan,Rail Containers Loaded,0
1997,Jan,Rail Containers Empty,0
1997,Jan,Bus Passengers,0
1997,Jan,Personal Vehicles,362
1997,Jan,Train Passengers,0
1997,Jan,Truck Containers Loaded,0
1997,Jan,Buses,0
1997,Jan,Trucks,8
1997,Jan,Trains,0
1997,Jan,Personal Vehicle Passengers,721
1997,Jan,Truck Containers Empty,0
1997,Feb,Trucks,12
1997,Feb,Bus Passengers,0
1997,Feb,Buses,0
1997,Feb,Train Passengers,0
1997,Feb,Pedestrians,0
1997,Feb,Trains,0
1997,Feb,Personal Vehicles,359
1997,Feb,Truck Containers Empty,0
1997,Feb,Truck Containers Loaded,0
1997,Feb,Rail Containers Empty,0
1997,Feb,Personal Vehicle Passengers,614
1997,Feb,Rail Containers Loaded,0
1997,Mar,Bus Passengers,0
1997,Mar,Trains,0
1997,Mar,Personal Vehicle Passengers,762
1997,Mar,Rail Containers Loaded,0
1997,Mar,Train Passengers,0
1997,Mar,Personal Vehicles,369
1997,Mar,Truck Containers Loaded,0
1997,Mar,Trucks,3
1997,Mar,Truck Containers Empty,0
1997,Mar,Buses,0
1997,Mar,Pedestrians,0
1997,Mar,Rail Containers Empty,0
1997,Apr,Rail Containers Loaded,0
1997,Apr,Buses,0
1997,Apr,Truck Containers Empty,0
1997,Apr,Trucks,7
1997,Apr,Trains,0
1997,Apr,Bus Passengers,0
1997,Apr,Truck Containers Loaded,0
1997,Apr,Rail Containers Empty,0
1997,Apr,Train Passengers,0
1997,Apr,Pedestrians,0
1997,Apr,Personal Vehicle Passengers,1100
1997,Apr,Personal Vehicles,502
1997,May,Personal Vehicles,530
1997,May,Truck Containers Loaded,0
1997,May,Bus Passengers,0
1997,May,Trains,0
1997,May,Buses,0
1997,May,Rail Containers Empty,0
1997,May,Personal Vehicle Passengers,1128
1997,May,Trucks,10
1997,May,Pedestrians,0
1997,May,Truck Containers Empty,0
1997,May,Rail Containers Loaded,0
1997,May,Train Passengers,0
1997,Jun,Rail Containers Loaded,0
1997,Jun,Buses,4
1997,Jun,Rail Containers Empty,0
1997,Jun,Train Passengers,0
1997,Jun,Personal Vehicles,591
1997,Jun,Truck Containers Empty,0
1997,Jun,Trains,0
1997,Jun,Bus Passengers,145
1997,Jun,Personal Vehicle Passengers,1314
1997,Jun,Pedestrians,0
1997,Jun,Trucks,6
1997,Jun,Truck Containers Loaded,0
1997,Jul,Train Passengers,0
1997,Jul,Truck Containers Empty,0
1997,Jul,Buses,0
1997,Jul,Rail Containers Empty,0
1997,Jul,Pedestrians,0
1997,Jul,Personal Vehicles,621
1997,Jul,Trains,0
1997,Jul,Trucks,6
1997,Jul,Truck Containers Loaded,0
1997,Jul,Personal Vehicle Passengers,1399
1997,Jul,Rail Containers Loaded,0
1997,Jul,Bus Passengers,0
1997,Aug,Rail Containers Empty,0
1997,Aug,Truck Containers Loaded,0
1997,Aug,Bus Passengers,0
1997,Aug,Rail Containers Loaded,0
1997,Aug,Pedestrians,0
1997,Aug,Trucks,17
1997,Aug,Buses,0
1997,Aug,Trains,0
1997,Aug,Train Passengers,0
1997,Aug,Personal Vehicle Passengers,1576
1997,Aug,Personal Vehicles,659
1997,Aug,Truck Containers Empty,0
1997,Sep,Rail Containers Empty,0
1997,Sep,Truck Containers Loaded,0
1997,Sep,Personal Vehicle Passengers,1118
1997,Sep,Train Passengers,0
1997,Sep,Truck Containers Empty,0
1997,Sep,Pedestrians,0
1997,Sep,Rail Containers Loaded,0
1997,Sep,Bus Passengers,0
1997,Sep,Buses,0
1997,Sep,Trains,0
1997,Sep,Trucks,7
1997,Sep,Personal Vehicles,522
1997,Oct,Rail Containers Loaded,0
1997,Oct,Trucks,7
1997,Oct,Bus Passengers,0
1997,Oct,Personal Vehicle Passengers,999
1997,Oct,Truck Containers Empty,0
1997,Oct,Pedestrians,0
1997,Oct,Trains,0
1997,Oct,Train Passengers,0
1997,Oct,Rail Containers Empty,0
1997,Oct,Personal Vehicles,486
1997,Oct,Truck Containers Loaded,0
1997,Oct,Buses,0
1997,Nov,Buses,0
