month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,,,,,-1,,-1,
Jan,Personal Vehicle Passengers,,35,-158,0,245,-82,88,-98,-16,-50,23,-36,124,-134,24,23,40,-62,19,-24,-7,7,-7,14,-26,-60,64,29,-39,-22
Jan,Personal Vehicles,,2,-65,0,77,-16,25,-30,-24,14,14,-22,32,-37,4,7,12,-9,1,-8,-3,3,-10,11,-6,-32,31,7,-12,-8
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total People,,37,-223,0,322,-98,113,-128,-40,-34,37,-60,156,-171,28,30,52,-71,20,-32,-10,10,-17,25,-32,-91,94,37,-52,-30
Jan,Total Vehicles,,-56,-30,0,53,86,-8,-54,3,-18,-33,65,-4,-68,-9,5,-2,4,28,-30,43,-45,9,-25,,,,,,
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,0,0,0,0,0,0,0,28,-11,-5,27,-9,-30,0,0,1,0,-1,0,21,-20,-1,,,,,,,
Jan,Truck Containers Loaded,,0,0,0,23,51,-4,-31,-27,1,-7,9,0,-4,-5,4,-2,3,14,-16,11,-13,9,-16,,,,,,
Jan,Trucks,,-56,-30,0,30,35,-4,-23,2,-8,-21,29,5,-34,-4,1,-1,1,15,-14,11,-12,1,-9,,,,,,
Feb,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
