month,crossingType,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,64,-34,-30,0,0,26,-26,0,0,0,0,13,-13,0,0,,,,,,,
Jan,Buses,,1,0,-1,0,0,1,-1,0,0,0,0,1,-1,0,0,,,,,,,
Jan,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Personal Vehicle Passengers,,1889,-260,210,-288,325,-650,254,-685,632,163,9,-304,-19,-249,86,74,-165,-897,350,436,54,-138
Jan,Personal Vehicles,,638,-120,95,171,154,-325,127,-228,156,89,-19,-93,12,-62,-63,-1,-40,-420,181,228,39,-59
Jan,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Total People,,2591,-414,275,-117,479,-949,355,-913,788,252,-10,-384,-20,-311,23,73,-205,-1317,531,664,93,-197
Jan,Total Vehicles,,428,145,-246,155,-24,-96,-15,-61,-184,226,-170,-25,186,-2,-1,347,-470,30,-138,21,-55,15
Jan,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jan,Truck Containers Empty,,1,3,11,1,18,-16,0,-6,-2,2,-12,0,0,1,-1,,-2,-1,1,-2,,-7
Jan,Truck Containers Loaded,,231,55,-137,76,-30,-30,-10,-24,-91,112,-152,0,0,176,5,234,-307,7,-69,21,-46,19
Jan,Trucks,,195,87,-119,78,-12,-51,-4,-31,-91,112,-6,-26,187,-179,-5,109,-161,24,-70,2,-19,3
Feb,Bus Passengers,,100,-8,-56,39,-75,0,0,0,0,0,0,0,92,-58,-34,,,,,,,
Feb,Buses,,2,0,0,0,-2,0,0,0,0,0,0,0,1,0,-1,,,,,,,
Feb,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Personal Vehicle Passengers,,1733,132,235,-768,552,-470,238,-519,1211,109,-465,-500,-444,293,-355,-285,412,-1040,864,27,58,-207
Feb,Personal Vehicles,,538,70,92,-34,276,-235,119,-194,365,67,-208,-195,-148,77,-162,-81,165,-462,433,-12,44,-106
Feb,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Total People,,2371,194,271,-763,753,-705,357,-713,1576,176,-673,-695,-500,312,-551,-366,577,-1502,1297,15,102,-313
Feb,Total Vehicles,,335,116,60,-145,90,-122,42,-182,4,55,-200,36,160,-82,45,97,71,-167,112,-229,-66,48
Feb,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Feb,Truck Containers Empty,,6,2,7,3,16,-19,3,-8,18,-21,-7,0,0,5,-4,1,1,1,16,-20,,-3
Feb,Truck Containers Loaded,,169,45,29,-79,34,-51,23,-83,-15,50,-122,0,0,86,30,67,53,-123,45,-95,-54,35
Feb,Trucks,,158,69,24,-69,42,-52,16,-91,1,26,-71,36,159,-173,20,29,17,-45,51,-114,-20,16
Mar,Bus Passengers,,48,-48,14,-14,17,-17,30,-30,0,0,0,0,0,0,0,,-11,,,,,
Mar,Buses,,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,,-1,,,,,
Mar,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Personal Vehicle Passengers,,1990,106,-197,179,238,-742,466,-515,687,301,-707,-237,41,-178,51,-248,-663,-469,488,282,357,-202
Mar,Personal Vehicles,,586,30,17,406,119,-371,233,-168,-34,345,-294,-102,-31,-55,-9,-77,-280,-237,250,131,144,-59
Mar,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Total People,,2624,88,-166,571,374,-1130,729,-713,653,646,-1001,-339,10,-233,42,-314,-954,-706,738,413,501,-261
Mar,Total Vehicles,,115,306,1,196,-243,1,-67,-71,115,-136,-152,13,224,-22,66,-127,210,-207,93,-236,-49,102
Mar,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Mar,Truck Containers Empty,,0,24,-8,26,-6,-13,7,-12,-2,-7,-9,0,0,1,1,1,-2,15,-16,,,13
Mar,Truck Containers Loaded,,56,128,11,70,-114,14,-41,-23,63,-65,-99,0,0,161,45,-84,148,-165,93,-151,-31,52
Mar,Trucks,,58,155,-3,101,-124,1,-34,-35,54,-64,-44,13,224,-184,20,-45,65,-57,16,-85,-20,37
Apr,Bus Passengers,,44,-44,0,83,-23,-60,0,0,36,-36,0,0,0,0,,,,,,,,
Apr,Buses,,2,-2,0,2,-1,-1,0,0,1,-1,0,0,0,0,,,,,,,,
Apr,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Personal Vehicle Passengers,,2124,-368,950,-440,-224,130,814,-180,266,-232,75,-879,-259,68,-63,-220,-1484,133,800,265,42,-285
Apr,Personal Vehicles,,668,-229,463,231,-112,65,407,178,-382,-10,64,-378,-284,183,-80,-41,-683,68,395,96,77,-163
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Total People,,2836,-641,1413,-126,-359,135,1221,-2,-80,-278,139,-1257,-543,251,-143,-261,-2167,201,1195,361,119,-448
Apr,Total Vehicles,,295,302,-102,97,-276,98,226,-100,-105,-202,-154,32,68,349,-348,161,-110,389,-531,5,19,-93
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Apr,Truck Containers Empty,,5,13,-3,28,-11,-15,23,-18,0,-22,0,0,0,2,2,0,0,2,-5,-1,,7
Apr,Truck Containers Loaded,,132,148,-47,19,-126,64,90,-36,-44,-158,-42,0,0,323,-226,98,-64,265,-345,5,15,-68
Apr,Trucks,,156,143,-52,48,-138,50,113,-46,-62,-21,-112,32,68,24,-124,63,-46,122,-181,1,3,-32
May,Bus Passengers,,44,-44,37,-37,0,0,0,0,0,1,-1,0,17,-17,,,,,,,,
May,Buses,,2,-2,1,-1,0,0,0,0,0,1,-1,0,1,-1,,,,,,,,
May,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Personal Vehicle Passengers,,2124,368,811,-737,688,-544,142,866,-22,734,-659,-869,-148,-393,186,-400,-2037,54,1015,381,275,-507
May,Personal Vehicles,,668,-45,478,182,344,-272,71,580,-357,293,-331,-242,-66,-154,34,-150,-958,37,532,165,113,-225
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Total People,,2836,279,1326,-592,1032,-816,213,1446,-379,1028,-991,-1111,-197,-564,220,-550,-2995,91,1547,546,388,-732
May,Total Vehicles,,206,335,-195,47,2,-53,-88,251,-453,29,-3,-22,56,1460,-574,-194,-87,-256,-260,-59,-40,-95
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
May,Truck Containers Empty,,2,48,-34,13,22,-29,16,-14,-15,-9,0,0,0,4,2,3,-6,4,-1,-5,4,-2
May,Truck Containers Loaded,,46,169,-59,-2,-6,1,-60,139,-215,-13,0,0,0,994,-364,-145,-27,-165,-173,-44,-15,-61
May,Trucks,,156,120,-103,37,-14,-25,-44,126,-223,50,-2,-22,55,463,-212,-52,-54,-95,-86,-10,-29,-32
Jun,Bus Passengers,,0,25,0,46,-71,0,0,0,0,30,-30,0,73,16,-26,-13,-50,,,,,
Jun,Buses,,0,1,0,1,-2,0,0,0,0,1,-1,0,2,1,-1,1,-3,,,,,
Jun,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Personal Vehicle Passengers,,3977,-489,112,-324,-222,-204,-432,1106,511,448,2,-1248,51,-3,53,-182,-3040,108,1401,1190,124,-700
Jun,Personal Vehicles,,1162,-290,328,431,-104,-102,-216,470,167,201,26,-491,-106,8,40,-62,-1378,51,681,504,78,-363
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Total People,,5139,-754,440,153,-397,-306,-648,1576,678,679,-2,-1739,18,21,67,-257,-4468,159,2082,1694,202,-1063
Jun,Total Vehicles,,191,-78,56,249,-206,78,-80,-72,-97,5,26,25,-8,671,-472,17,0,284,-525,-42,36,-29
Jun,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jun,Truck Containers Empty,,3,17,-5,37,1,-29,20,-19,-17,-8,0,0,0,0,,3,10,1,-16,,4,0
Jun,Truck Containers Loaded,,92,-57,34,87,-103,68,-63,-14,-31,-13,0,0,0,487,-313,-1,-15,200,-316,-32,20,-17
Jun,Trucks,,96,-39,27,124,-102,39,-37,-39,-49,25,27,25,-10,183,-160,14,8,83,-193,-11,12,-12
Jul,Bus Passengers,,124,-25,-78,-4,-17,0,0,0,0,96,54,-150,17,1,45,-63,,,,,,
Jul,Buses,,6,-1,-3,-1,-1,0,0,0,0,4,-1,-3,1,0,1,-2,,,,,,
Jul,Pedestrians,,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Personal Vehicle Passengers,,6013,123,-241,-955,-4940,4550,186,1171,-355,263,-160,-823,-95,-180,-366,387,-4450,106,2316,1235,494,-1259
Jul,Personal Vehicles,,1712,-178,431,505,-2470,2285,83,360,-259,46,-19,-179,-47,-230,-228,143,-1859,46,1032,519,148,-525
Jul,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Total People,,7849,-80,112,-452,-7429,6835,269,1531,-614,405,-125,-1152,-125,-409,-549,467,-6309,152,3348,1754,642,-1784
Jul,Total Vehicles,,738,-390,-49,333,-382,224,-20,-215,151,-319,67,150,-183,774,-379,611,-770,-32,-264,210,-165,-27
Jul,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
