year,crossingType,absoluteChange,pctChange
2003,Bus Passengers,,
2003,Buses,,
2003,Pedestrians,,
2003,Personal Vehicle Passengers,,
2003,Personal Vehicles,,
2003,Rail Containers Empty,,
2003,Rail Containers Loaded,,
2003,Total,,
2003,Train Passengers,,
2003,Trains,,
2003,Truck Containers Empty,,
2003,Truck Containers Loaded,,
2003,Trucks,,
2004,Bus Passengers,529,
2004,Buses,17,
2004,Pedestrians,1,
2004,Personal Vehicle Passengers,32823,
2004,Personal Vehicles,11472,
2004,Rail Containers Empty,0,
2004,Rail Containers Loaded,0,
2004,Total,49303,
2004,Train Passengers,0,
2004,Trains,0,
2004,Truck Containers Empty,41,
2004,Truck Containers Loaded,2122,
2004,Trucks,2298,
2005,Bus Passengers,-174,-32.89225
2005,Buses,-5,-29.411765
2005,Pedestrians,-1,-100
2005,Personal Vehicle Passengers,4921,14.992536
2005,Personal Vehicles,-168,-1.464435
2005,Rail Containers Empty,0,
2005,Rail Containers Loaded,0,
2005,Total,5597,11.35225
2005,Train Passengers,0,
2005,Trains,0,
2005,Truck Containers Empty,213,519.512195
2005,Truck Containers Loaded,359,16.918002
2005,Trucks,452,19.669278
2006,Bus Passengers,-190,-53.521127
2006,Buses,-3,-25
2006,Pedestrians,0,
2006,Personal Vehicle Passengers,-1005,-2.662675
2006,Personal Vehicles,2342,20.71833
2006,Rail Containers Empty,0,
2006,Rail Containers Loaded,0,
2006,Total,717,1.306011
2006,Train Passengers,0,
2006,Trains,0,
2006,Truck Containers Empty,-77,-30.314961
2006,Truck Containers Loaded,-250,-10.076582
2006,Trucks,-100,-3.636364
2007,Bus Passengers,212,128.484848
2007,Buses,2,22.222222
2007,Pedestrians,2,
2007,Personal Vehicle Passengers,-1548,-4.213506
2007,Personal Vehicles,3951,28.953539
2007,Rail Containers Empty,0,
2007,Rail Containers Loaded,0,
2007,Total,2881,5.180071
2007,Train Passengers,0,
2007,Trains,0,
2007,Truck Containers Empty,155,87.570621
2007,Truck Containers Loaded,86,3.854774
2007,Trucks,21,0.792453
2008,Bus Passengers,-253,-67.108753
2008,Buses,-8,-72.727273
2008,Pedestrians,-2,-100
2008,Personal Vehicle Passengers,-18395,-52.271888
2008,Personal Vehicles,-9199,-52.275956
2008,Rail Containers Empty,0,
2008,Rail Containers Loaded,0,
2008,Total,-29836,-51.003453
2008,Train Passengers,0,
2008,Trains,0,
2008,Truck Containers Empty,61,18.373494
2008,Truck Containers Loaded,-613,-26.456625
2008,Trucks,-1427,-53.425683
2009,Bus Passengers,64,51.612903
2009,Buses,0,0
2009,Pedestrians,0,
2009,Personal Vehicle Passengers,14098,83.936652
2009,Personal Vehicles,7059,84.055728
2009,Rail Containers Empty,0,
2009,Rail Containers Loaded,0,
2009,Total,22283,77.744051
2009,Train Passengers,0,
2009,Trains,0,
2009,Truck Containers Empty,-116,-29.516539
2009,Truck Containers Loaded,216,12.676056
2009,Trucks,962,77.33119
2010,Bus Passengers,-158,-84.042553
2010,Buses,-2,-66.666667
2010,Pedestrians,0,
2010,Personal Vehicle Passengers,3719,12.037936
2010,Personal Vehicles,1828,11.826357
2010,Rail Containers Empty,0,
2010,Rail Containers Loaded,0,
2010,Total,5470,10.737069
2010,Train Passengers,0,
2010,Trains,0,
2010,Truck Containers Empty,69,24.909747
2010,Truck Containers Loaded,-28,-1.458333
2010,Trucks,42,1.903898
2011,Bus Passengers,-30,-100
2011,Buses,-1,-100
2011,Pedestrians,0,
2011,Personal Vehicle Passengers,3483,10.062693
2011,Personal Vehicles,2199,12.722013
2011,Rail Containers Empty,0,
2011,Rail Containers Loaded,0,
2011,Total,5682,10.071789
2011,Train Passengers,0,
2011,Trains,0,
2011,Truck Containers Empty,-27,-7.803468
2011,Truck Containers Loaded,64,3.382664
2011,Trucks,-6,-0.266904
2012,Bus Passengers,36,
2012,Buses,1,
2012,Pedestrians,0,
2012,Personal Vehicle Passengers,3620,9.50231
2012,Personal Vehicles,-917,-4.706426
2012,Rail Containers Empty,0,
2012,Rail Containers Loaded,0,
2012,Total,1467,2.362433
2012,Train Passengers,0,
2012,Trains,0,
2012,Truck Containers Empty,-171,-53.605016
2012,Truck Containers Loaded,-481,-24.591002
2012,Trucks,-621,-27.698483
2013,Bus Passengers,91,252.777778
2013,Buses,5,500
2013,Pedestrians,0,
2013,Personal Vehicle Passengers,1666,3.993671
2013,Personal Vehicles,851,4.583401
2013,Rail Containers Empty,0,
2013,Rail Containers Loaded,0,
2013,Total,1167,1.835945
2013,Train Passengers,0,
2013,Trains,0,
2013,Truck Containers Empty,-120,-81.081081
2013,Truck Containers Loaded,-1060,-71.864407
2013,Trucks,-266,-16.409624
2014,Bus Passengers,95,74.80315
2014,Buses,3,50
2014,Pedestrians,0,
2014,Personal Vehicle Passengers,-3812,-8.787055
2014,Personal Vehicles,-1409,-7.256154
2014,Rail Containers Empty,0,
2014,Rail Containers Loaded,0,
2014,Total,-5743,-8.872101
2014,Train Passengers,0,
2014,Trains,0,
2014,Truck Containers Empty,-28,-100
2014,Truck Containers Loaded,-415,-100
2014,Trucks,-177,-13.062731
2015,Bus Passengers,-46,-20.720721
2015,Buses,-3,-33.333333
2015,Pedestrians,0,
2015,Personal Vehicle Passengers,-9952,-25.150366
2015,Personal Vehicles,-3812,-21.167194
2015,Rail Containers Empty,0,
2015,Rail Containers Loaded,0,
2015,Total,-13493,-22.874144
2015,Train Passengers,0,
2015,Trains,0,
2015,Truck Containers Empty,0,
2015,Truck Containers Loaded,0,
2015,Trucks,320,27.164686
2016,Bus Passengers,138,78.409091
2016,Buses,2,33.333333
2016,Pedestrians,0,
2016,Personal Vehicle Passengers,-176,-0.594233
2016,Personal Vehicles,-290,-2.042685
2016,Rail Containers Empty,0,
2016,Rail Containers Loaded,0,
2016,Total,97,0.21321
2016,Train Passengers,0,
2016,Trains,0,
2016,Truck Containers Empty,0,
2016,Truck Containers Loaded,0,
2016,Trucks,423,28.23765
2017,Bus Passengers,-158,-50.318471
2017,Buses,-2,-25
2017,Pedestrians,0,
2017,Personal Vehicle Passengers,72,0.244549
2017,Personal Vehicles,-419,-3.012871
2017,Rail Containers Empty,0,
2017,Rail Containers Loaded,0,
2017,Total,3817,8.372083
2017,Train Passengers,0,
2017,Trains,0,
2017,Truck Containers Empty,19,
2017,Truck Containers Loaded,3837,
2017,Trucks,468,24.362311
2018,Bus Passengers,-30,-19.230769
2018,Buses,-2,-33.333333
2018,Pedestrians,,
2018,Personal Vehicle Passengers,-2101,-7.118656
2018,Personal Vehicles,-1032,-7.651246
2018,Rail Containers Empty,,
2018,Rail Containers Loaded,,
2018,Total,-5416,-10.961566
2018,Train Passengers,,
2018,Trains,,
2018,Truck Containers Empty,9,47.368421
