month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Jan,Buses,,,,,,,,,,,,,,,,,,,,,
Jan,Pedestrians,,,,,,,,,,,,,,,,,,,,,-100
Jan,Personal Vehicle Passengers,,,-35.670103,-100,,18.324607,-10.619469,-100,,14.615385,-9.395973,-25.740741,2.493766,13.138686,-17.204301,-3.116883,-94.369973,1033.333333,50.420168,47.765363,-18.714556
Jan,Personal Vehicles,,,-27.230047,-100,,18.324607,-11.061947,-100,,44.074074,-34.70437,-18.897638,30.097087,-16.044776,-19.555556,-2.762431,-90.909091,643.75,45.378151,35.260116,-14.102564
Jan,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Jan,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Jan,Total People,,,-33.094556,-100,,18.324607,-10.766962,-100,,24.683544,-19.390863,-23.551637,11.861614,1.620029,-17.971014,-3.003534,-93.260474,864.864865,48.739496,44.067797,-17.51634
Jan,Total Vehicles,,,100,-100,,,,,,-100,,,,,,,,,,,
Jan,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Jan,Trains,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Jan,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Jan,Trucks,,,100,-100,,,,,,-100,,,,,,,,,,,
Feb,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Feb,Buses,,,,,,,,,,,,,,,,,,,,,
Feb,Pedestrians,,,,,,,,,,,,,,,,,,,,,-100
Feb,Personal Vehicle Passengers,,,-47.387387,-100,,10.638298,23.076923,-100,,-6.199461,-23.994253,-21.73913,-7.487923,-3.916449,-0.815217,6.575342,-93.573265,1048,72.125436,27.530364,-20.15873
Feb,Personal Vehicles,,,-20.108696,-100,,10.638298,43.461538,-100,,9.836066,-19.701493,-30.111524,-6.382979,-7.954545,-11.728395,27.272727,-88.461538,623.809524,37.5,16.267943,-11.111111
Feb,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
