port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,72358,,
Del Bonita,1997,64796,-7562,-10
Del Bonita,1998,73401,8605,13
Del Bonita,1999,80964,7563,10
Del Bonita,2000,57675,-23289,-29
Del Bonita,2001,39436,-18239,-32
Del Bonita,2002,42309,2873,7
Del Bonita,2003,42309,0,0
Del Bonita,2004,44664,2355,6
Del Bonita,2005,36726,-7938,-18
Del Bonita,2006,43022,6296,17
Del Bonita,2007,36332,-6690,-16
Del Bonita,2008,43968,7636,21
Del Bonita,2009,40374,-3594,-8
Del Bonita,2010,48991,8617,21
Del Bonita,2011,50262,1271,3
Del Bonita,2012,54689,4427,9
Del Bonita,2013,61826,7137,13
Del Bonita,2014,66788,4962,8
Del Bonita,2015,60603,-6185,-9
Del Bonita,2016,57815,-2788,-5
Del Bonita,2017,58016,201,0
Del Bonita,2018,58728,712,1
Del Bonita,2019,54693,-4035,-7
Del Bonita,2020,9256,-45437,-83
Del Bonita,2021,3789,-5467,-59
Del Bonita,2022,21831,18042,476
Del Bonita,2023,32417,10586,48
Del Bonita,2024,33956,1539,5
Del Bonita,2025,25063,-8893,-26
