port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,0,,
Del Bonita,1997,0,0,
Del Bonita,1998,0,0,
Del Bonita,1999,0,0,
Del Bonita,2000,0,0,
Del Bonita,2001,0,0,
Del Bonita,2002,0,0,
Del Bonita,2003,0,0,
Del Bonita,2004,0,0,
Del Bonita,2005,0,0,
Del Bonita,2006,0,0,
Del Bonita,2007,0,0,
Del Bonita,2008,0,0,
Del Bonita,2009,0,0,
Del Bonita,2010,0,0,
Del Bonita,2011,0,0,
Del Bonita,2012,0,0,
Del Bonita,2013,0,0,
Del Bonita,2014,0,0,
Del Bonita,2015,0,0,
Del Bonita,2016,0,0,
Del Bonita,2017,,,
Del Bonita,2018,,,
Del Bonita,2019,,,
Del Bonita,2020,,,
Del Bonita,2021,,,
Del Bonita,2022,,,
Del Bonita,2023,,,
Del Bonita,2024,,,
Del Bonita,2025,,,
