port,year,count,changeYoY,pctChangeYoY
Morgan,1996,0,,
Morgan,1997,159,159,
Morgan,1998,77,-82,-52
Morgan,1999,58,-19,-25
Morgan,2000,166,108,186
Morgan,2001,171,5,3
Morgan,2002,42,-129,-75
Morgan,2003,50,8,19
Morgan,2004,0,-50,-100
Morgan,2005,213,213,
Morgan,2006,115,-98,-46
Morgan,2007,113,-2,-2
Morgan,2008,0,-113,-100
Morgan,2009,162,162,
Morgan,2010,175,13,8
Morgan,2011,193,18,10
Morgan,2012,123,-70,-36
Morgan,2013,115,-8,-7
Morgan,2014,44,-71,-62
Morgan,2015,19,-25,-57
Morgan,2016,0,-19,-100
Morgan,2017,245,245,
Morgan,2018,254,9,4
Morgan,2019,96,-158,-62
Morgan,2020,238,142,148
Morgan,2021,353,115,48
Morgan,2022,245,-108,-31
Morgan,2023,232,-13,-5
Morgan,2024,360,128,55
Morgan,2025,132,-228,-63
