port,year,count,changeYoY,pctChangeYoY
Morgan,1996,15808,,
Morgan,1997,16892,1084,7
Morgan,1998,11959,-4933,-29
Morgan,1999,14086,2127,18
Morgan,2000,13982,-104,-1
Morgan,2001,12009,-1973,-14
Morgan,2002,10753,-1256,-10
Morgan,2003,10108,-645,-6
Morgan,2004,11451,1343,13
Morgan,2005,11840,389,3
Morgan,2006,10596,-1244,-11
Morgan,2007,13628,3032,29
Morgan,2008,13480,-148,-1
Morgan,2009,16665,3185,24
Morgan,2010,16075,-590,-4
Morgan,2011,16856,781,5
Morgan,2012,16680,-176,-1
Morgan,2013,15433,-1247,-7
Morgan,2014,14998,-435,-3
Morgan,2015,12407,-2591,-17
Morgan,2016,11770,-637,-5
Morgan,2017,12539,769,7
Morgan,2018,12237,-302,-2
Morgan,2019,12036,-201,-2
Morgan,2020,2034,-10002,-83
Morgan,2021,1477,-557,-27
Morgan,2022,4863,3386,229
Morgan,2023,7302,2439,50
Morgan,2024,7674,372,5
Morgan,2025,5112,-2562,-33
