port,year,count,changeYoY,pctChangeYoY
Morgan,1996,0,,
Morgan,1997,0,0,
Morgan,1998,0,0,
Morgan,1999,0,0,
Morgan,2000,0,0,
Morgan,2001,0,0,
Morgan,2002,0,0,
Morgan,2003,0,0,
Morgan,2004,0,0,
Morgan,2005,0,0,
Morgan,2006,0,0,
Morgan,2007,0,0,
Morgan,2008,0,0,
Morgan,2009,0,0,
Morgan,2010,0,0,
Morgan,2011,0,0,
Morgan,2012,0,0,
Morgan,2013,0,0,
Morgan,2014,0,0,
Morgan,2015,0,0,
Morgan,2016,0,0,
Morgan,2017,,,
Morgan,2018,,,
Morgan,2019,,,
Morgan,2020,,,
Morgan,2021,,,
Morgan,2022,,,
Morgan,2023,,,
Morgan,2024,,,
Morgan,2025,,,
