port,year,count,changeYoY,pctChangeYoY
Morgan,1996,8081,,
Morgan,1997,8336,255,3
Morgan,1998,6925,-1411,-17
Morgan,1999,7387,462,7
Morgan,2000,9233,1846,25
Morgan,2001,8473,-760,-8
Morgan,2002,6308,-2165,-26
Morgan,2003,5362,-946,-15
Morgan,2004,5916,554,10
Morgan,2005,5653,-263,-4
Morgan,2006,5699,46,1
Morgan,2007,6101,402,7
Morgan,2008,6797,696,11
Morgan,2009,6982,185,3
Morgan,2010,7372,390,6
Morgan,2011,7474,102,1
Morgan,2012,8712,1238,17
Morgan,2013,8438,-274,-3
Morgan,2014,6948,-1490,-18
Morgan,2015,7257,309,4
Morgan,2016,6453,-804,-11
Morgan,2017,6297,-156,-2
Morgan,2018,5748,-549,-9
Morgan,2019,6010,262,5
Morgan,2020,1482,-4528,-75
Morgan,2021,1391,-91,-6
Morgan,2022,2752,1361,98
Morgan,2023,3709,957,35
Morgan,2024,3935,226,6
Morgan,2025,2671,-1264,-32
