port,year,count,changeYoY,pctChangeYoY
Opheim,1996,0,,
Opheim,1997,0,0,
Opheim,1998,5,5,
Opheim,1999,0,-5,-100
Opheim,2000,1055,1055,
Opheim,2001,2573,1518,144
Opheim,2002,1043,-1530,-59
Opheim,2003,552,-491,-47
Opheim,2004,1204,652,118
Opheim,2005,749,-455,-38
Opheim,2006,531,-218,-29
Opheim,2007,521,-10,-2
Opheim,2008,271,-250,-48
Opheim,2009,321,50,18
Opheim,2010,266,-55,-17
Opheim,2011,267,1,0
Opheim,2012,151,-116,-43
Opheim,2013,0,-151,-100
Opheim,2014,0,0,
Opheim,2015,0,0,
Opheim,2016,0,0,
Opheim,2017,346,346,
Opheim,2018,344,-2,-1
Opheim,2019,441,97,28
Opheim,2020,240,-201,-46
Opheim,2021,391,151,63
Opheim,2022,156,-235,-60
Opheim,2023,59,-97,-62
Opheim,2024,128,69,117
Opheim,2025,45,-83,-65
