port,year,count,changeYoY,pctChangeYoY
Opheim,1996,0,,
Opheim,1997,0,0,
Opheim,1998,0,0,
Opheim,1999,0,0,
Opheim,2000,0,0,
Opheim,2001,0,0,
Opheim,2002,0,0,
Opheim,2003,0,0,
Opheim,2004,0,0,
Opheim,2005,0,0,
Opheim,2006,0,0,
Opheim,2007,0,0,
Opheim,2008,0,0,
Opheim,2009,0,0,
Opheim,2010,0,0,
Opheim,2011,0,0,
Opheim,2012,0,0,
Opheim,2013,0,0,
Opheim,2014,0,0,
Opheim,2015,0,0,
Opheim,2016,0,0,
Opheim,2017,,,
Opheim,2018,,,
Opheim,2019,,,
Opheim,2020,,,
Opheim,2021,,,
Opheim,2022,,,
Opheim,2023,,,
Opheim,2024,,,
Opheim,2025,,,
