port,year,count,changeYoY,pctChangeYoY
Piegan,1996,311,,
Piegan,1997,446,135,43
Piegan,1998,376,-70,-16
Piegan,1999,323,-53,-14
Piegan,2000,252,-71,-22
Piegan,2001,325,73,29
Piegan,2002,256,-69,-21
Piegan,2003,314,58,23
Piegan,2004,292,-22,-7
Piegan,2005,293,1,0
Piegan,2006,363,70,24
Piegan,2007,395,32,9
Piegan,2008,466,71,18
Piegan,2009,241,-225,-48
Piegan,2010,377,136,56
Piegan,2011,655,278,74
Piegan,2012,1009,354,54
Piegan,2013,1023,14,1
Piegan,2014,486,-537,-52
Piegan,2015,0,-486,-100
Piegan,2016,0,0,
Piegan,2017,498,498,
Piegan,2018,362,-136,-27
Piegan,2019,278,-84,-23
Piegan,2020,333,55,20
Piegan,2021,363,30,9
Piegan,2022,357,-6,-2
Piegan,2023,329,-28,-8
Piegan,2024,281,-48,-15
Piegan,2025,303,22,8
