port,year,count,changeYoY,pctChangeYoY
Piegan,1996,0,,
Piegan,1997,0,0,
Piegan,1998,0,0,
Piegan,1999,0,0,
Piegan,2000,0,0,
Piegan,2001,0,0,
Piegan,2002,0,0,
Piegan,2003,0,0,
Piegan,2004,0,0,
Piegan,2005,0,0,
Piegan,2006,0,0,
Piegan,2007,0,0,
Piegan,2008,0,0,
Piegan,2009,0,0,
Piegan,2010,0,0,
Piegan,2011,0,0,
Piegan,2012,0,0,
Piegan,2013,0,0,
Piegan,2014,0,0,
Piegan,2015,0,0,
Piegan,2016,0,0,
Piegan,2017,,,
Piegan,2018,,,
Piegan,2019,,,
Piegan,2020,,,
Piegan,2021,,,
Piegan,2022,,,
Piegan,2023,,,
Piegan,2024,,,
Piegan,2025,,,
