port,year,count,changeYoY,pctChangeYoY
Piegan,1996,131251,,
Piegan,1997,146589,15338,12
Piegan,1998,156521,9932,7
Piegan,1999,183404,26883,17
Piegan,2000,108048,-75356,-41
Piegan,2001,128402,20354,19
Piegan,2002,119154,-9248,-7
Piegan,2003,113506,-5648,-5
Piegan,2004,104275,-9231,-8
Piegan,2005,99627,-4648,-4
Piegan,2006,97357,-2270,-2
Piegan,2007,104956,7599,8
Piegan,2008,103983,-973,-1
Piegan,2009,103869,-114,0
Piegan,2010,122281,18412,18
Piegan,2011,117764,-4517,-4
Piegan,2012,122812,5048,4
Piegan,2013,120398,-2414,-2
Piegan,2014,112755,-7643,-6
Piegan,2015,92821,-19934,-18
Piegan,2016,99325,6504,7
Piegan,2017,106213,6888,7
Piegan,2018,109506,3293,3
Piegan,2019,113972,4466,4
Piegan,2020,13256,-100716,-88
Piegan,2021,11954,-1302,-10
Piegan,2022,58015,46061,385
Piegan,2023,86719,28704,49
Piegan,2024,106952,20233,23
Piegan,2025,70549,-36403,-34
