port,year,count,changeYoY,pctChangeYoY
Raymond,1996,490,,
Raymond,1997,1128,638,130
Raymond,1998,1992,864,77
Raymond,1999,863,-1129,-57
Raymond,2000,1244,381,44
Raymond,2001,1926,682,55
Raymond,2002,1290,-636,-33
Raymond,2003,990,-300,-23
Raymond,2004,851,-139,-14
Raymond,2005,726,-125,-15
Raymond,2006,1520,794,109
Raymond,2007,1899,379,25
Raymond,2008,2229,330,17
Raymond,2009,1768,-461,-21
Raymond,2010,1605,-163,-9
Raymond,2011,3968,2363,147
Raymond,2012,6423,2455,62
Raymond,2013,7812,1389,22
Raymond,2014,5971,-1841,-24
Raymond,2015,4106,-1865,-31
Raymond,2016,3399,-707,-17
Raymond,2017,3320,-79,-2
Raymond,2018,2451,-869,-26
Raymond,2019,2967,516,21
Raymond,2020,5319,2352,79
Raymond,2021,3818,-1501,-28
Raymond,2022,2182,-1636,-43
Raymond,2023,3863,1681,77
Raymond,2024,3961,98,3
Raymond,2025,2007,-1954,-49
