port,year,count,changeYoY,pctChangeYoY
Raymond,1996,0,,
Raymond,1997,0,0,
Raymond,1998,0,0,
Raymond,1999,0,0,
Raymond,2000,0,0,
Raymond,2001,0,0,
Raymond,2002,0,0,
Raymond,2003,0,0,
Raymond,2004,0,0,
Raymond,2005,0,0,
Raymond,2006,0,0,
Raymond,2007,0,0,
Raymond,2008,0,0,
Raymond,2009,0,0,
Raymond,2010,0,0,
Raymond,2011,0,0,
Raymond,2012,0,0,
Raymond,2013,0,0,
Raymond,2014,0,0,
Raymond,2015,0,0,
Raymond,2016,0,0,
Raymond,2017,,,
Raymond,2018,,,
Raymond,2019,,,
Raymond,2020,,,
Raymond,2021,,,
Raymond,2022,,,
Raymond,2023,,,
Raymond,2024,,,
Raymond,2025,,,
