port,year,count,changeYoY,pctChangeYoY
Raymond,1996,49693,,
Raymond,1997,53245,3552,7
Raymond,1998,52655,-590,-1
Raymond,1999,51637,-1018,-2
Raymond,2000,48011,-3626,-7
Raymond,2001,49730,1719,4
Raymond,2002,42760,-6970,-14
Raymond,2003,39223,-3537,-8
Raymond,2004,44692,5469,14
Raymond,2005,42411,-2281,-5
Raymond,2006,42263,-148,0
Raymond,2007,46350,4087,10
Raymond,2008,40056,-6294,-14
Raymond,2009,32457,-7599,-19
Raymond,2010,36455,3998,12
Raymond,2011,44505,8050,22
Raymond,2012,46010,1505,3
Raymond,2013,46525,515,1
Raymond,2014,46059,-466,-1
Raymond,2015,41543,-4516,-10
Raymond,2016,38782,-2761,-7
Raymond,2017,40325,1543,4
Raymond,2018,42261,1936,5
Raymond,2019,42935,674,2
Raymond,2020,23082,-19853,-46
Raymond,2021,22091,-991,-4
Raymond,2022,29684,7593,34
Raymond,2023,36024,6340,21
Raymond,2024,37959,1935,5
Raymond,2025,28052,-9907,-26
