port,year,count,changeYoY,pctChangeYoY
Roosville,1996,1431,,
Roosville,1997,1395,-36,-3
Roosville,1998,2059,664,48
Roosville,1999,1563,-496,-24
Roosville,2000,1271,-292,-19
Roosville,2001,963,-308,-24
Roosville,2002,1089,126,13
Roosville,2003,869,-220,-20
Roosville,2004,393,-476,-55
Roosville,2005,417,24,6
Roosville,2006,523,106,25
Roosville,2007,716,193,37
Roosville,2008,1289,573,80
Roosville,2009,1484,195,15
Roosville,2010,1948,464,31
Roosville,2011,2886,938,48
Roosville,2012,2676,-210,-7
Roosville,2013,1797,-879,-33
Roosville,2014,1707,-90,-5
Roosville,2015,1011,-696,-41
Roosville,2016,868,-143,-14
Roosville,2017,5639,4771,550
Roosville,2018,6055,416,7
Roosville,2019,5296,-759,-13
Roosville,2020,4038,-1258,-24
Roosville,2021,4725,687,17
Roosville,2022,3531,-1194,-25
Roosville,2023,3992,461,13
Roosville,2024,3516,-476,-12
Roosville,2025,1956,-1560,-44
