port,year,count,changeYoY,pctChangeYoY
Roosville,1996,293024,,
Roosville,1997,248725,-44299,-15
Roosville,1998,285416,36691,15
Roosville,1999,295683,10267,4
Roosville,2000,262347,-33336,-11
Roosville,2001,234123,-28224,-11
Roosville,2002,236725,2602,1
Roosville,2003,230164,-6561,-3
Roosville,2004,208481,-21683,-9
Roosville,2005,250369,41888,20
Roosville,2006,306529,56160,22
Roosville,2007,199337,-107192,-35
Roosville,2008,217250,17913,9
Roosville,2009,237633,20383,9
Roosville,2010,290469,52836,22
Roosville,2011,302581,12112,4
Roosville,2012,328522,25941,9
Roosville,2013,359881,31359,10
Roosville,2014,363470,3589,1
Roosville,2015,317011,-46459,-13
Roosville,2016,298729,-18282,-6
Roosville,2017,299482,753,0
Roosville,2018,312340,12858,4
Roosville,2019,313271,931,0
Roosville,2020,44000,-269271,-86
Roosville,2021,19345,-24655,-56
Roosville,2022,168814,149469,773
Roosville,2023,252669,83855,50
Roosville,2024,270008,17339,7
Roosville,2025,204476,-65532,-24
