port,year,count,changeYoY,pctChangeYoY
Roosville,1996,0,,
Roosville,1997,0,0,
Roosville,1998,0,0,
Roosville,1999,0,0,
Roosville,2000,0,0,
Roosville,2001,0,0,
Roosville,2002,0,0,
Roosville,2003,0,0,
Roosville,2004,0,0,
Roosville,2005,0,0,
Roosville,2006,0,0,
Roosville,2007,0,0,
Roosville,2008,0,0,
Roosville,2009,0,0,
Roosville,2010,0,0,
Roosville,2011,0,0,
Roosville,2012,0,0,
Roosville,2013,0,0,
Roosville,2014,0,0,
Roosville,2015,0,0,
Roosville,2016,0,0,
Roosville,2017,,,
Roosville,2018,,,
Roosville,2019,,,
Roosville,2020,,,
Roosville,2021,,,
Roosville,2022,,,
Roosville,2023,,,
Roosville,2024,,,
Roosville,2025,,,
