port,year,count,changeYoY,pctChangeYoY
Roosville,1996,113977,,
Roosville,1997,108146,-5831,-5
Roosville,1998,111533,3387,3
Roosville,1999,124657,13124,12
Roosville,2000,124415,-242,0
Roosville,2001,111329,-13086,-11
Roosville,2002,102552,-8777,-8
Roosville,2003,94667,-7885,-8
Roosville,2004,98289,3622,4
Roosville,2005,98790,501,1
Roosville,2006,107338,8548,9
Roosville,2007,115486,8148,8
Roosville,2008,119139,3653,3
Roosville,2009,118857,-282,0
Roosville,2010,160133,41276,35
Roosville,2011,201834,41701,26
Roosville,2012,218053,16219,8
Roosville,2013,241587,23534,11
Roosville,2014,247387,5800,2
Roosville,2015,228084,-19303,-8
Roosville,2016,224998,-3086,-1
Roosville,2017,194364,-30634,-14
Roosville,2018,162801,-31563,-16
Roosville,2019,161773,-1028,-1
Roosville,2020,33065,-128708,-80
Roosville,2021,23517,-9548,-29
Roosville,2022,93368,69851,297
Roosville,2023,132322,38954,42
Roosville,2024,138826,6504,5
Roosville,2025,107740,-31086,-22
