port,year,count,changeYoY,pctChangeYoY
Scobey,1996,0,,
Scobey,1997,0,0,
Scobey,1998,0,0,
Scobey,1999,0,0,
Scobey,2000,1344,1344,
Scobey,2001,1081,-263,-20
Scobey,2002,1023,-58,-5
Scobey,2003,792,-231,-23
Scobey,2004,731,-61,-8
Scobey,2005,803,72,10
Scobey,2006,633,-170,-21
Scobey,2007,514,-119,-19
Scobey,2008,175,-339,-66
Scobey,2009,327,152,87
Scobey,2010,341,14,4
Scobey,2011,523,182,53
Scobey,2012,1765,1242,237
Scobey,2013,1341,-424,-24
Scobey,2014,1156,-185,-14
Scobey,2015,449,-707,-61
Scobey,2016,0,-449,-100
Scobey,2017,486,486,
Scobey,2018,418,-68,-14
Scobey,2019,503,85,20
Scobey,2020,803,300,60
Scobey,2021,657,-146,-18
Scobey,2022,93,-564,-86
Scobey,2023,327,234,252
Scobey,2024,655,328,100
Scobey,2025,284,-371,-57
