port,year,count,changeYoY,pctChangeYoY
Scobey,1996,0,,
Scobey,1997,0,0,
Scobey,1998,0,0,
Scobey,1999,0,0,
Scobey,2000,156,156,
Scobey,2001,182,26,17
Scobey,2002,168,-14,-8
Scobey,2003,67,-101,-60
Scobey,2004,135,68,101
Scobey,2005,398,263,195
Scobey,2006,295,-103,-26
Scobey,2007,323,28,9
Scobey,2008,83,-240,-74
Scobey,2009,184,101,122
Scobey,2010,119,-65,-35
Scobey,2011,96,-23,-19
Scobey,2012,117,21,22
Scobey,2013,94,-23,-20
Scobey,2014,77,-17,-18
Scobey,2015,49,-28,-36
Scobey,2016,0,-49,-100
Scobey,2017,202,202,
Scobey,2018,175,-27,-13
Scobey,2019,259,84,48
Scobey,2020,679,420,162
Scobey,2021,354,-325,-48
Scobey,2022,53,-301,-85
Scobey,2023,230,177,334
Scobey,2024,525,295,128
Scobey,2025,165,-360,-69
