port,year,count,changeYoY,pctChangeYoY
Scobey,1996,19736,,
Scobey,1997,14065,-5671,-29
Scobey,1998,8776,-5289,-38
Scobey,1999,13454,4678,53
Scobey,2000,14287,833,6
Scobey,2001,14189,-98,-1
Scobey,2002,13297,-892,-6
Scobey,2003,11727,-1570,-12
Scobey,2004,9321,-2406,-21
Scobey,2005,6860,-2461,-26
Scobey,2006,10000,3140,46
Scobey,2007,10036,36,0
Scobey,2008,4098,-5938,-59
Scobey,2009,9634,5536,135
Scobey,2010,9293,-341,-4
Scobey,2011,11321,2028,22
Scobey,2012,12194,873,8
Scobey,2013,13519,1325,11
Scobey,2014,14413,894,7
Scobey,2015,11339,-3074,-21
Scobey,2016,10922,-417,-4
Scobey,2017,10629,-293,-3
Scobey,2018,10597,-32,0
Scobey,2019,10240,-357,-3
Scobey,2020,2502,-7738,-76
Scobey,2021,1560,-942,-38
Scobey,2022,5474,3914,251
Scobey,2023,10099,4625,84
Scobey,2024,11001,902,9
Scobey,2025,8617,-2384,-22
