port,year,count,changeYoY,pctChangeYoY
Scobey,1996,0,,
Scobey,1997,0,0,
Scobey,1998,0,0,
Scobey,1999,0,0,
Scobey,2000,0,0,
Scobey,2001,0,0,
Scobey,2002,0,0,
Scobey,2003,0,0,
Scobey,2004,0,0,
Scobey,2005,0,0,
Scobey,2006,0,0,
Scobey,2007,0,0,
Scobey,2008,0,0,
Scobey,2009,0,0,
Scobey,2010,0,0,
Scobey,2011,0,0,
Scobey,2012,0,0,
Scobey,2013,0,0,
Scobey,2014,0,0,
Scobey,2015,0,0,
Scobey,2016,0,0,
Scobey,2017,,,
Scobey,2018,,,
Scobey,2019,,,
Scobey,2020,,,
Scobey,2021,,,
Scobey,2022,,,
Scobey,2023,,,
Scobey,2024,,,
Scobey,2025,,,
