port,year,count,changeYoY,pctChangeYoY
Scobey,1996,9418,,
Scobey,1997,7484,-1934,-21
Scobey,1998,4202,-3282,-44
Scobey,1999,7643,3441,82
Scobey,2000,7588,-55,-1
Scobey,2001,7984,396,5
Scobey,2002,7789,-195,-2
Scobey,2003,6608,-1181,-15
Scobey,2004,6272,-336,-5
Scobey,2005,5848,-424,-7
Scobey,2006,5734,-114,-2
Scobey,2007,5608,-126,-2
Scobey,2008,5123,-485,-9
Scobey,2009,4703,-420,-8
Scobey,2010,5615,912,19
Scobey,2011,6268,653,12
Scobey,2012,8435,2167,35
Scobey,2013,8929,494,6
Scobey,2014,8200,-729,-8
Scobey,2015,6981,-1219,-15
Scobey,2016,7083,102,1
Scobey,2017,6871,-212,-3
Scobey,2018,5914,-957,-14
Scobey,2019,6017,103,2
Scobey,2020,2381,-3636,-60
Scobey,2021,1579,-802,-34
Scobey,2022,3006,1427,90
Scobey,2023,5478,2472,82
Scobey,2024,6121,643,12
Scobey,2025,4726,-1395,-23
