port,year,count,changeYoY,pctChangeYoY
Sweetgrass,1996,131414,,
Sweetgrass,1997,141000,9586,7
Sweetgrass,1998,147937,6937,5
Sweetgrass,1999,154680,6743,5
Sweetgrass,2000,170550,15870,10
Sweetgrass,2001,167345,-3205,-2
Sweetgrass,2002,163156,-4189,-3
Sweetgrass,2003,138748,-24408,-15
Sweetgrass,2004,154025,15277,11
Sweetgrass,2005,139768,-14257,-9
Sweetgrass,2006,156411,16643,12
Sweetgrass,2007,174530,18119,12
Sweetgrass,2008,167492,-7038,-4
Sweetgrass,2009,142587,-24905,-15
Sweetgrass,2010,139445,-3142,-2
Sweetgrass,2011,156280,16835,12
Sweetgrass,2012,170607,14327,9
Sweetgrass,2013,156076,-14531,-9
Sweetgrass,2014,165693,9617,6
Sweetgrass,2015,150738,-14955,-9
Sweetgrass,2016,152923,2185,1
Sweetgrass,2017,172986,20063,13
Sweetgrass,2018,174534,1548,1
Sweetgrass,2019,188505,13971,8
Sweetgrass,2020,176698,-11807,-6
Sweetgrass,2021,202289,25591,14
Sweetgrass,2022,186096,-16193,-8
Sweetgrass,2023,245551,59455,32
Sweetgrass,2024,299983,54432,22
Sweetgrass,2025,237218,-62765,-21
