port,year,count,changeYoY,pctChangeYoY
Sweetgrass,1996,781191,,
Sweetgrass,1997,781894,703,0
Sweetgrass,1998,680579,-101315,-13
Sweetgrass,1999,787926,107347,16
Sweetgrass,2000,740823,-47103,-6
Sweetgrass,2001,554173,-186650,-25
Sweetgrass,2002,582503,28330,5
Sweetgrass,2003,660400,77897,13
Sweetgrass,2004,695181,34781,5
Sweetgrass,2005,775477,80296,12
Sweetgrass,2006,806406,30929,4
Sweetgrass,2007,534849,-271557,-34
Sweetgrass,2008,498865,-35984,-7
Sweetgrass,2009,536082,37217,7
Sweetgrass,2010,590160,54078,10
Sweetgrass,2011,475610,-114550,-19
Sweetgrass,2012,507362,31752,7
Sweetgrass,2013,533535,26173,5
Sweetgrass,2014,516204,-17331,-3
Sweetgrass,2015,459855,-56349,-11
Sweetgrass,2016,429514,-30341,-7
Sweetgrass,2017,431752,2238,1
Sweetgrass,2018,419084,-12668,-3
Sweetgrass,2019,394318,-24766,-6
Sweetgrass,2020,100634,-293684,-74
Sweetgrass,2021,99881,-753,-1
Sweetgrass,2022,267161,167280,167
Sweetgrass,2023,350748,83587,31
Sweetgrass,2024,358851,8103,2
Sweetgrass,2025,260463,-98388,-27
