port,year,count,changeYoY,pctChangeYoY
Sweetgrass,1996,340,,
Sweetgrass,1997,348,8,2
Sweetgrass,1998,373,25,7
Sweetgrass,1999,392,19,5
Sweetgrass,2000,471,79,20
Sweetgrass,2001,358,-113,-24
Sweetgrass,2002,339,-19,-5
Sweetgrass,2003,367,28,8
Sweetgrass,2004,413,46,13
Sweetgrass,2005,382,-31,-8
Sweetgrass,2006,383,1,0
Sweetgrass,2007,432,49,13
Sweetgrass,2008,367,-65,-15
Sweetgrass,2009,344,-23,-6
Sweetgrass,2010,373,29,8
Sweetgrass,2011,380,7,2
Sweetgrass,2012,442,62,16
Sweetgrass,2013,444,2,0
Sweetgrass,2014,351,-93,-21
Sweetgrass,2015,347,-4,-1
Sweetgrass,2016,348,1,0
Sweetgrass,2017,395,47,14
Sweetgrass,2018,352,-43,-11
Sweetgrass,2019,407,55,16
Sweetgrass,2020,383,-24,-6
Sweetgrass,2021,414,31,8
Sweetgrass,2022,423,9,2
Sweetgrass,2023,439,16,4
Sweetgrass,2024,401,-38,-9
Sweetgrass,2025,379,-22,-5
