port,year,count,changeYoY,pctChangeYoY
Turner,1996,58,,
Turner,1997,52,-6,-10
Turner,1998,38,-14,-27
Turner,1999,29,-9,-24
Turner,2000,29,0,0
Turner,2001,11,-18,-62
Turner,2002,3,-8,-73
Turner,2003,12,9,300
Turner,2004,10,-2,-17
Turner,2005,15,5,50
Turner,2006,22,7,47
Turner,2007,0,-22,-100
Turner,2008,0,0,
Turner,2009,63,63,
Turner,2010,44,-19,-30
Turner,2011,45,1,2
Turner,2012,51,6,13
Turner,2013,53,2,4
Turner,2014,60,7,13
Turner,2015,65,5,8
Turner,2016,36,-29,-45
Turner,2017,181,145,403
Turner,2018,177,-4,-2
Turner,2019,256,79,45
Turner,2020,104,-152,-59
Turner,2021,298,194,187
Turner,2022,166,-132,-44
Turner,2023,259,93,56
Turner,2024,429,170,66
Turner,2025,231,-198,-46
