port,year,count,changeYoY,pctChangeYoY
Turner,1996,21050,,
Turner,1997,22112,1062,5
Turner,1998,16762,-5350,-24
Turner,1999,16008,-754,-4
Turner,2000,14487,-1521,-10
Turner,2001,12157,-2330,-16
Turner,2002,11437,-720,-6
Turner,2003,9807,-1630,-14
Turner,2004,10234,427,4
Turner,2005,10780,546,5
Turner,2006,11250,470,4
Turner,2007,14578,3328,30
Turner,2008,10224,-4354,-30
Turner,2009,14494,4270,42
Turner,2010,18773,4279,30
Turner,2011,18732,-41,0
Turner,2012,22366,3634,19
Turner,2013,23531,1165,5
Turner,2014,23629,98,0
Turner,2015,20105,-3524,-15
Turner,2016,19423,-682,-3
Turner,2017,19262,-161,-1
Turner,2018,18414,-848,-4
Turner,2019,18087,-327,-2
Turner,2020,4152,-13935,-77
Turner,2021,2897,-1255,-30
Turner,2022,7977,5080,175
Turner,2023,11432,3455,43
Turner,2024,11547,115,1
Turner,2025,8252,-3295,-29
