port,year,count,changeYoY,pctChangeYoY
Turner,1996,0,,
Turner,1997,0,0,
Turner,1998,0,0,
Turner,1999,0,0,
Turner,2000,0,0,
Turner,2001,0,0,
Turner,2002,0,0,
Turner,2003,0,0,
Turner,2004,0,0,
Turner,2005,0,0,
Turner,2006,0,0,
Turner,2007,0,0,
Turner,2008,0,0,
Turner,2009,0,0,
Turner,2010,0,0,
Turner,2011,0,0,
Turner,2012,0,0,
Turner,2013,0,0,
Turner,2014,0,0,
Turner,2015,0,0,
Turner,2016,0,0,
Turner,2017,,,
Turner,2018,,,
Turner,2019,,,
Turner,2020,,,
Turner,2021,,,
Turner,2022,,,
Turner,2023,,,
Turner,2024,,,
Turner,2025,,,
