port,year,count,changeYoY,pctChangeYoY
Whitetail,1996,0,,
Whitetail,1997,0,0,
Whitetail,1998,0,0,
Whitetail,1999,0,0,
Whitetail,2000,0,0,
Whitetail,2001,42,42,
Whitetail,2002,144,102,243
Whitetail,2003,71,-73,-51
Whitetail,2004,33,-38,-54
Whitetail,2005,41,8,24
Whitetail,2006,28,-13,-32
Whitetail,2007,29,1,4
Whitetail,2008,2,-27,-93
Whitetail,2009,2,0,0
Whitetail,2010,0,-2,-100
Whitetail,2011,0,0,
Whitetail,2012,0,0,
Whitetail,2013,2,2,
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
