port,year,count,changeYoY,pctChangeYoY
Whitetail,1996,10359,,
Whitetail,1997,12613,2254,22
Whitetail,1998,11413,-1200,-10
Whitetail,1999,13235,1822,16
Whitetail,2000,11385,-1850,-14
Whitetail,2001,10955,-430,-4
Whitetail,2002,10940,-15,0
Whitetail,2003,6373,-4567,-42
Whitetail,2004,3455,-2918,-46
Whitetail,2005,2565,-890,-26
Whitetail,2006,2427,-138,-5
Whitetail,2007,1621,-806,-33
Whitetail,2008,1371,-250,-15
Whitetail,2009,2361,990,72
Whitetail,2010,1993,-368,-16
Whitetail,2011,1552,-441,-22
Whitetail,2012,1602,50,3
Whitetail,2013,82,-1520,-95
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
