port,year,count,changeYoY,pctChangeYoY
Whitlash,1996,0,,
Whitlash,1997,0,0,
Whitlash,1998,0,0,
Whitlash,1999,0,0,
Whitlash,2000,528,528,
Whitlash,2001,569,41,8
Whitlash,2002,454,-115,-20
Whitlash,2003,559,105,23
Whitlash,2004,318,-241,-43
Whitlash,2005,404,86,27
Whitlash,2006,512,108,27
Whitlash,2007,647,135,26
Whitlash,2008,135,-512,-79
Whitlash,2009,112,-23,-17
Whitlash,2010,76,-36,-32
Whitlash,2011,160,84,111
Whitlash,2012,131,-29,-18
Whitlash,2013,112,-19,-15
Whitlash,2014,905,793,708
Whitlash,2015,642,-263,-29
Whitlash,2016,201,-441,-69
Whitlash,2017,172,-29,-14
Whitlash,2018,87,-85,-49
Whitlash,2019,1,-86,-99
Whitlash,2020,,,
Whitlash,2021,77,,
Whitlash,2022,4,-73,-95
Whitlash,2023,,,
Whitlash,2024,49,,
Whitlash,2025,91,42,86
