port,year,count,changeYoY,pctChangeYoY
Wildhorse,1996,,,
Wildhorse,1997,,,
Wildhorse,1998,,,
Wildhorse,1999,,,
Wildhorse,2000,,,
Wildhorse,2001,,,
Wildhorse,2002,,,
Wildhorse,2003,0,,
Wildhorse,2004,0,0,
Wildhorse,2005,0,0,
Wildhorse,2006,0,0,
Wildhorse,2007,0,0,
Wildhorse,2008,0,0,
Wildhorse,2009,0,0,
Wildhorse,2010,0,0,
Wildhorse,2011,0,0,
Wildhorse,2012,0,0,
Wildhorse,2013,0,0,
Wildhorse,2014,0,0,
Wildhorse,2015,0,0,
Wildhorse,2016,0,0,
Wildhorse,2017,,,
Wildhorse,2018,,,
Wildhorse,2019,,,
Wildhorse,2020,,,
Wildhorse,2021,,,
Wildhorse,2022,,,
Wildhorse,2023,,,
Wildhorse,2024,,,
Wildhorse,2025,,,
