port,year,count,changeYoY,pctChangeYoY
Wildhorse,1996,,,
Wildhorse,1997,,,
Wildhorse,1998,,,
Wildhorse,1999,,,
Wildhorse,2000,,,
Wildhorse,2001,,,
Wildhorse,2002,,,
Wildhorse,2003,0,,
Wildhorse,2004,13787,13787,
Wildhorse,2005,14066,279,2
Wildhorse,2006,16305,2239,16
Wildhorse,2007,20279,3974,24
Wildhorse,2008,9645,-10634,-52
Wildhorse,2009,17666,8021,83
Wildhorse,2010,19534,1868,11
Wildhorse,2011,21726,2192,11
Wildhorse,2012,20189,-1537,-7
Wildhorse,2013,20779,590,3
Wildhorse,2014,19196,-1583,-8
Wildhorse,2015,15701,-3495,-18
Wildhorse,2016,15836,135,1
Wildhorse,2017,15883,47,0
Wildhorse,2018,14056,-1827,-12
Wildhorse,2019,14162,106,1
Wildhorse,2020,3562,-10600,-75
Wildhorse,2021,3807,245,7
Wildhorse,2022,8473,4666,123
Wildhorse,2023,11492,3019,36
Wildhorse,2024,12560,1068,9
Wildhorse,2025,8490,-4070,-32
