port,year,count,changeYoY,pctChangeYoY
Willow Creek,1996,,,
Willow Creek,1997,,,
Willow Creek,1998,,,
Willow Creek,1999,,,
Willow Creek,2000,,,
Willow Creek,2001,,,
Willow Creek,2002,,,
Willow Creek,2003,,,
Willow Creek,2004,,,
Willow Creek,2005,2090,,
Willow Creek,2006,2803,713,34
Willow Creek,2007,2406,-397,-14
Willow Creek,2008,2211,-195,-8
Willow Creek,2009,3808,1597,72
Willow Creek,2010,4736,928,24
Willow Creek,2011,5827,1091,23
Willow Creek,2012,4535,-1292,-22
Willow Creek,2013,2963,-1572,-35
Willow Creek,2014,4769,1806,61
Willow Creek,2015,3441,-1328,-28
Willow Creek,2016,3627,186,5
Willow Creek,2017,1124,-2503,-69
Willow Creek,2018,2615,1491,133
Willow Creek,2019,2654,39,1
Willow Creek,2020,656,-1998,-75
Willow Creek,2021,636,-20,-3
Willow Creek,2022,2397,1761,277
Willow Creek,2023,3601,1204,50
Willow Creek,2024,3869,268,7
Willow Creek,2025,2518,-1351,-35
