port,year,count,changeYoY,pctChangeYoY
Del Bonita,1996,636,,
Del Bonita,1997,816,180,28
Del Bonita,1998,1075,259,32
Del Bonita,1999,530,-545,-51
Del Bonita,2000,848,318,60
Del Bonita,2001,1031,183,22
Del Bonita,2002,1243,212,21
Del Bonita,2003,1127,-116,-9
Del Bonita,2004,800,-327,-29
Del Bonita,2005,821,21,3
Del Bonita,2006,910,89,11
Del Bonita,2007,0,-910,-100
Del Bonita,2008,0,0,
Del Bonita,2009,77,77,
Del Bonita,2010,0,-77,-100
Del Bonita,2011,0,0,
Del Bonita,2012,0,0,
Del Bonita,2013,0,0,
Del Bonita,2014,0,0,
Del Bonita,2015,0,0,
Del Bonita,2016,0,0,
Del Bonita,2017,860,860,
Del Bonita,2018,511,-349,-41
Del Bonita,2019,732,221,43
Del Bonita,2020,1427,695,95
Del Bonita,2021,1188,-239,-17
Del Bonita,2022,2744,1556,131
Del Bonita,2023,899,-1845,-67
Del Bonita,2024,1722,823,92
Del Bonita,2025,944,-778,-45
Morgan,1996,0,,
Morgan,1997,1944,1944,
Morgan,1998,1686,-258,-13
Morgan,1999,1936,250,15
Morgan,2000,3218,1282,66
Morgan,2001,3602,384,12
Morgan,2002,1468,-2134,-59
Morgan,2003,605,-863,-59
Morgan,2004,0,-605,-100
Morgan,2005,729,729,
Morgan,2006,740,11,2
Morgan,2007,463,-277,-37
Morgan,2008,0,-463,-100
Morgan,2009,465,465,
Morgan,2010,651,186,40
Morgan,2011,698,47,7
Morgan,2012,1608,910,130
Morgan,2013,1254,-354,-22
Morgan,2014,397,-857,-68
Morgan,2015,180,-217,-55
Morgan,2016,0,-180,-100
Morgan,2017,741,741,
Morgan,2018,392,-349,-47
Morgan,2019,235,-157,-40
Morgan,2020,332,97,41
Morgan,2021,497,165,50
Morgan,2022,332,-165,-33
Morgan,2023,321,-11,-3
Morgan,2024,424,103,32
Morgan,2025,190,-234,-55
Turner,1996,419,,
Turner,1997,697,278,66
Turner,1998,419,-278,-40
Turner,1999,331,-88,-21
Turner,2000,625,294,89
Turner,2001,556,-69,-11
Turner,2002,279,-277,-50
Turner,2003,367,88,32
Turner,2004,370,3,1
Turner,2005,258,-112,-30
Turner,2006,260,2,1
Turner,2007,23,-237,-91
Turner,2008,0,-23,-100
Turner,2009,765,765,
Turner,2010,728,-37,-5
Turner,2011,897,169,23
Turner,2012,1654,757,84
Turner,2013,1892,238,14
Turner,2014,1085,-807,-43
Turner,2015,1337,252,23
Turner,2016,693,-644,-48
Turner,2017,1514,821,118
Turner,2018,447,-1067,-70
Turner,2019,604,157,35
Turner,2020,348,-256,-42
Turner,2021,589,241,69
Turner,2022,498,-91,-15
Turner,2023,523,25,5
Turner,2024,664,141,27
Turner,2025,453,-211,-32
Whitetail,1996,0,,
Whitetail,1997,0,0,
Whitetail,1998,0,0,
Whitetail,1999,0,0,
Whitetail,2000,0,0,
Whitetail,2001,149,149,
Whitetail,2002,289,140,94
Whitetail,2003,204,-85,-29
Whitetail,2004,122,-82,-40
Whitetail,2005,115,-7,-6
Whitetail,2006,64,-51,-44
Whitetail,2007,78,14,22
Whitetail,2008,11,-67,-86
Whitetail,2009,14,3,27
Whitetail,2010,0,-14,-100
Whitetail,2011,0,0,
Whitetail,2012,0,0,
Whitetail,2013,2,2,
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
Opheim,1996,0,,
Opheim,1997,0,0,
Opheim,1998,5,5,
Opheim,1999,0,-5,-100
Opheim,2000,1055,1055,
Opheim,2001,2573,1518,144
Opheim,2002,1043,-1530,-59
Opheim,2003,552,-491,-47
Opheim,2004,1204,652,118
Opheim,2005,749,-455,-38
Opheim,2006,531,-218,-29
Opheim,2007,521,-10,-2
Opheim,2008,271,-250,-48
Opheim,2009,321,50,18
Opheim,2010,266,-55,-17
Opheim,2011,267,1,0
Opheim,2012,151,-116,-43
Opheim,2013,0,-151,-100
Opheim,2014,0,0,
Opheim,2015,0,0,
Opheim,2016,0,0,
Opheim,2017,346,346,
Opheim,2018,344,-2,-1
Opheim,2019,441,97,28
Opheim,2020,240,-201,-46
Opheim,2021,391,151,63
Opheim,2022,156,-235,-60
Opheim,2023,59,-97,-62
Opheim,2024,128,69,117
Opheim,2025,45,-83,-65
Wildhorse,1996,,,
Wildhorse,1997,,,
Wildhorse,1998,,,
Wildhorse,1999,,,
Wildhorse,2000,,,
Wildhorse,2001,,,
Wildhorse,2002,,,
Wildhorse,2003,0,,
Wildhorse,2004,2163,2163,
Wildhorse,2005,2735,572,26
Wildhorse,2006,2408,-327,-12
Wildhorse,2007,2649,241,10
Wildhorse,2008,2097,-552,-21
Wildhorse,2009,2197,100,5
Wildhorse,2010,2238,41,2
